Record,Section,Field,Value
2,Epidemiology,Low Or No Transmission Areas 3,deserts (except oases)
2,Epidemiology > United States,Status,eradicated
2,Epidemiology > United States,Annual Imported Cases,1500–2000
2,Epidemiology > United States,Common Source,travel to endemic regions
2,Epidemiology > United States,Special Cases,airport malaria (rare)
2,Plasmodium Species Details > Falciparum,Severity,most severe
2,Plasmodium Species Details > Falciparum,Mortality,highest
2,Plasmodium Species Details > Falciparum,Distribution,mostly Africa
2,Plasmodium Species Details > Falciparum,Special Notes 1,causes cerebral malaria
2,Plasmodium Species Details > Falciparum,Special Notes 2,major cause of death in children under 5
2,Plasmodium Species Details > Falciparum,Special Notes 3,placental sequestration in pregnancy
2,Plasmodium Species Details > Vivax,Distribution,widest globally
2,Plasmodium Species Details > Vivax,Unique Feature,hypnozoite (dormant liver stage)
2,Plasmodium Species Details > Vivax,Relapse,True
2,Plasmodium Species Details > Vivax,Major Countries 1,India
2,Plasmodium Species Details > Vivax,Major Countries 2,Ethiopia
2,Plasmodium Species Details > Vivax,Major Countries 3,Pakistan
2,Plasmodium Species Details > Vivax,Africa Prevalence,low due to Duffy gene absence
2,Plasmodium Species Details > Ovale,Relapse,True
2,Plasmodium Species Details > Ovale,Severity,moderate
2,Plasmodium Species Details > Malariae,Pattern,quartan malaria
2,Plasmodium Species Details > Malariae,Severity,mild to moderate
2,Plasmodium Species Details > Malariae,Chronic Infection,True
2,Plasmodium Species Details > Knowlesi,Origin,monkeys
2,Plasmodium Species Details > Knowlesi,Region,Southeast Asia
2,Plasmodium Species Details > Knowlesi,Risk,can be fatal if untreated
2,Plasmodium Species Details > Knowlesi,Misdiagnosis,resembles P. malariae
2,Life Cycle,Human Stages 1,sporozoite
2,Life Cycle,Human Stages 2,liver schizont
2,Life Cycle,Human Stages 3,merozoite
2,Life Cycle,Human Stages 4,ring form
2,Life Cycle,Human Stages 5,trophozoite
2,Life Cycle,Human Stages 6,schizont
2,Life Cycle,Human Stages 7,gametocyte
2,Life Cycle,Mosquito Stages 1,gametocytes ingestion
2,Life Cycle,Mosquito Stages 2,zygote
2,Life Cycle,Mosquito Stages 3,ookinete
2,Life Cycle,Mosquito Stages 4,oocyst
2,Life Cycle,Mosquito Stages 5,sporozoites in salivary glands
2,Life Cycle > Reproduction,Asexual,human host
2,Life Cycle > Reproduction,Sexual,mosquito host
2,Clinical Features,Common Symptoms 1,headache
2,Clinical Features,Common Symptoms 2,fever
2,Clinical Features,Common Symptoms 3,chills
2,Clinical Features,Common Symptoms 4,sweats
2,Clinical Features,Common Symptoms 5,fatigue
2,Clinical Features,Common Symptoms 6,myalgia
2,Clinical Features,Common Symptoms 7,arthralgia
2,Clinical Features,Less Common Symptoms 1,nausea
2,Clinical Features,Less Common Symptoms 2,vomiting
2,Clinical Features,Less Common Symptoms 3,diarrhea
2,Clinical Features,Less Common Symptoms 4,jaundice
2,Clinical Features,Less Common Symptoms 5,anorexia
2,Clinical Features > Fever Pattern,Falciparum,irregular
2,Clinical Features > Fever Pattern,Vivax Ovale,every 48 hours
2,Clinical Features > Fever Pattern,Malariae,every 72 hours
2,Clinical Features > Fever Pattern,Knowlesi,every 24 hours
2,General,High Risk Groups 1,children under 5
2,General,High Risk Groups 2,pregnant women
2,General,High Risk Groups 3,non-immune travelers
2,General,High Risk Groups 4,immunocompromised individuals
2,General,High Risk Groups 5,VFR travelers (visiting friends and relatives)
2,Complications,Neurological 1,cerebral malaria
2,Complications,Neurological 2,seizures
2,Complications,Neurological 3,coma
2,Complications,Metabolic 1,hypoglycemia
2,Complications,Metabolic 2,lactic acidosis
2,Complications,Renal 1,acute renal failure
2,Complications,Renal 2,blackwater fever
2,Complications,Respiratory 1,non-cardiogenic pulmonary edema
2,Complications,Hematologic 1,severe anemia
2,Complications,Hematologic 2,hemolysis
2,Complications,Hematologic 3,coagulopathy
2,Complications > Mortality Notes,Cerebral Malaria,"15% children, 20% adults even with treatment"
2,Complications > Mortality Notes,Pulmonary Edema,up to 80% fatal in pregnancy
2,Immunity And Genetics,Partial Immunity,develops after repeated exposure
2,Immunity And Genetics,Protective Traits 1,sickle cell trait
2,Immunity And Genetics,Protective Traits 2,thalassemia
2,Immunity And Genetics,Protective Traits 3,hemoglobin C
2,Immunity And Genetics,Protective Traits 4,hemoglobin E
2,Immunity And Genetics,Protective Traits 5,G6PD deficiency
2,Immunity And Genetics,Protective Traits 6,absence of Duffy gene
2,Immunity And Genetics,Protective Traits 7,ovalocytosis
2,Diagnosis,Gold Standard,thick and thin blood smears
2,Diagnosis,Other Methods 1,rapid diagnostic tests (RDT)
2,Diagnosis,Other Methods 2,PCR
2,Diagnosis,Other Methods 3,"serology (IFA, ELISA)"
2,Treatment > Chloroquine Sensitive,Drug,chloroquine
2,Treatment > Chloroquine Sensitive,Regions 1,Central America west of Panama Canal
2,Treatment > Chloroquine Sensitive,Regions 2,Haiti
2,Treatment > Chloroquine Sensitive,Regions 3,Dominican Republic
2,Treatment > Chloroquine Sensitive,Regions 4,Middle East
2,Treatment,Chloroquine Resistant Falciparum 1,atovaquone–proguanil
2,Treatment,Chloroquine Resistant Falciparum 2,artemether–lumefantrine
2,Treatment,Chloroquine Resistant Falciparum 3,quinine + doxycycline/clindamycin
2,Treatment,Chloroquine Resistant Falciparum 4,mefloquine (limited use)
2,Treatment > Relapse Prevention,Drug,primaquine
2,Treatment > Relapse Prevention,Target,hypnozoites
2,Treatment > Relapse Prevention,Duration Days,14
2,Prevention,Vector Control 1,insecticide-treated nets (ITN)
2,Prevention,Vector Control 2,indoor residual spraying
2,Prevention,Vector Control 3,larval control
2,Prevention,Chemoprophylaxis,True
2,Prevention,Pregnancy Specific,intermittent preventive treatment (IPTp)
2,Vaccine,Name,"RTS,S (Mosquirix)"
2,Vaccine,Approved,2015
2,Vaccine,Target Group,children 6 weeks–17 months
2,Vaccine,Status,WHO review and pilot implementation
2,Travel Malaria,Incubation In Travelers,9–14 days (can be months)
2,Travel Malaria,Most Cases,within 30 days after return
2,Travel Malaria,Most Common Species 1,Plasmodium falciparum
2,Travel Malaria,Most Common Species 2,Plasmodium vivax
2,Travel Malaria,Main Risk Factor,no or poor chemoprophylaxis
2,Global Progress > Since 2000,Incidence Reduction,37%
2,Global Progress > Since 2000,Mortality Reduction,60%
2,Global Progress > Since 2000,Child Deaths Reduction,65%
2,Global Progress,Elimination Milestones 1,Europe reported zero indigenous cases in 2015
2,Global Progress,Elimination Milestones 2,57 countries reduced cases by ≥75%
2,General,Chatbot Supported Intents 1,What is malaria?
2,General,Chatbot Supported Intents 2,How is malaria transmitted?
2,General,Chatbot Supported Intents 3,Which malaria species are dangerous?
2,General,Chatbot Supported Intents 4,What are malaria symptoms?
2,General,Chatbot Supported Intents 5,What causes cerebral malaria?
2,General,Chatbot Supported Intents 6,How is malaria diagnosed?
2,General,Chatbot Supported Intents 7,How is malaria treated?
2,General,Chatbot Supported Intents 8,Why does malaria relapse?
2,General,Chatbot Supported Intents 9,Is malaria dangerous in pregnancy?
2,General,Chatbot Supported Intents 10,What genetic traits protect against malaria?
2,General,Chatbot Supported Intents 11,Is there a malaria vaccine?
2,General,Chatbot Supported Intents 12,Why is malaria common in Africa?
2,General,Chatbot Supported Intents 13,What is the malaria life cycle?
3,Source,Document,Diagnosis and Treatment of Malaria
3,Source,Year,2013
3,Source,Authority,"National Vector Borne Disease Control Programme (NVBDCP), Government of India"
3,Source,Scope,India national malaria treatment guidelines
3,General,Disease,malaria
3,General,Domain,public_health
3,General,Applicability,India
3,General,Program Objectives 1,early diagnosis of malaria
3,General,Program Objectives 2,prompt and complete treatment
3,General,Program Objectives 3,prevention of severe malaria and deaths
3,General,Program Objectives 4,prevention of malaria transmission
3,General,Program Objectives 5,prevention of drug resistance
3,Diagnostic Policy,Suspected Case Definition,All fever cases after ruling out other common causes
3,Diagnostic Policy,Diagnostic Methods 1,microscopy (peripheral blood smear)
3,Diagnostic Policy,Diagnostic Methods 2,rapid diagnostic test (RDT – monovalent or bivalent)
3,Diagnostic Policy,Policy Notes 1,Presumptive single-dose chloroquine is stopped
3,Diagnostic Policy,Policy Notes 2,"If diagnosis is delayed, full chloroquine for 3 days may be given in high suspicion"
3,Diagnostic Policy,Policy Notes 3,All confirmed cases must receive full therapeutic dose
3,Diagnosis Flow > Microscopy Available Within 24H,P Vivax,Chloroquine 3 days + Primaquine 14 days
3,Diagnosis Flow > Microscopy Available Within 24H > P Falciparum,North Eastern States,ACT-AL 3 days + Primaquine single dose (day 2)
3,Diagnosis Flow > Microscopy Available Within 24H > P Falciparum,Other States,ACT-SP 3 days + Primaquine single dose (day 2)
3,Diagnosis Flow > Microscopy Available Within 24H > Mixed Infection,North Eastern States,ACT-AL 3 days + Primaquine 14 days
3,Diagnosis Flow > Microscopy Available Within 24H > Mixed Infection,Other States,ACT-SP 3 days + Primaquine 14 days
3,Diagnosis Flow > Microscopy Available Within 24H,Negative,No antimalarial treatment
3,Diagnosis Flow > Rdt Without Microscopy > Monovalent Rdt,Pf Positive,Treat as P. falciparum (state-specific ACT)
3,Diagnosis Flow > Rdt Without Microscopy > Monovalent Rdt,Negative High Suspicion,Chloroquine 25 mg/kg over 3 days
3,Diagnosis Flow > Rdt Without Microscopy > Bivalent Rdt,Pv Positive,Chloroquine 3 days + Primaquine 14 days
3,Diagnosis Flow > Rdt Without Microscopy > Bivalent Rdt,Pf Positive,ACT (state-specific) + Primaquine single dose
3,Diagnosis Flow > Rdt Without Microscopy > Bivalent Rdt,Mixed,ACT + Primaquine 14 days
3,Diagnosis Flow > Rdt Without Microscopy > Bivalent Rdt,Negative,No antimalarial
3,Treatment Vivax > Chloroquine,Total Dose,25 mg/kg over 3 days
3,Treatment Vivax > Chloroquine,Schedule 1,10 mg/kg day 1
3,Treatment Vivax > Chloroquine,Schedule 2,10 mg/kg day 2
3,Treatment Vivax > Chloroquine,Schedule 3,5 mg/kg day 3
3,Treatment Vivax > Primaquine,Dose,0.25 mg/kg daily for 14 days
3,Treatment Vivax > Primaquine,Contraindications 1,pregnancy
3,Treatment Vivax > Primaquine,Contraindications 2,infants < 1 year
3,Treatment Vivax > Primaquine,Contraindications 3,G6PD deficiency
3,Treatment Vivax > Primaquine,Note,Must be given under supervision
3,Treatment Falciparum > North Eastern States,Drug,ACT-AL (Artemether–Lumefantrine)
3,Treatment Falciparum > North Eastern States,Duration,3 days
3,Treatment Falciparum > North Eastern States,Primaquine,0.75 mg/kg single dose on day 2
3,Treatment Falciparum > North Eastern States,Contraindications 1,1st trimester pregnancy
3,Treatment Falciparum > North Eastern States,Contraindications 2,children < 5 kg
3,Treatment Falciparum > Other States,Drug,ACT-SP (Artesunate + Sulfadoxine-Pyrimethamine)
3,Treatment Falciparum > Other States,Duration,3 days
3,Treatment Falciparum > Other States,Primaquine,0.75 mg/kg single dose on day 2
3,Treatment Falciparum > Other States,Pregnancy Note,Not in 1st trimester
3,Treatment Mixed Infection,Policy,Treat as falciparum malaria + full primaquine
3,Treatment Mixed Infection,Regimen,ACT (state-specific) + Primaquine 0.25 mg/kg daily for 14 days
3,Treatment Pregnancy,First Trimester,Quinine 10 mg/kg three times daily for 7 days
3,Treatment Pregnancy > Second Third Trimester,North Eastern States,ACT-AL
3,Treatment Pregnancy > Second Third Trimester,Other States,ACT-SP
3,Treatment Pregnancy,Primaquine,Contraindicated in all trimesters
3,Severe Malaria,Definition 1,altered consciousness
3,Severe Malaria,Definition 2,convulsions
3,Severe Malaria,Definition 3,severe anemia
3,Severe Malaria,Definition 4,renal failure
3,Severe Malaria,Definition 5,pulmonary edema
3,Severe Malaria,Definition 6,hypoglycemia
3,Severe Malaria,Definition 7,shock
3,Severe Malaria,Definition 8,bleeding
3,Severe Malaria,Definition 9,hyperparasitemia
3,Severe Malaria > Initial Management,Immediate Actions 1,RDT + blood smear
3,Severe Malaria > Initial Management,Immediate Actions 2,start parenteral antimalarial
3,Severe Malaria > Initial Management,Immediate Actions 3,urgent referral
3,Severe Malaria,Parenteral Treatment Options 1,"Artesunate 2.4 mg/kg IV/IM at 0, 12, 24 hrs then daily"
3,Severe Malaria,Parenteral Treatment Options 2,Artemether 3.2 mg/kg IM then 1.6 mg/kg daily
3,Severe Malaria,Parenteral Treatment Options 3,Arteether 150 mg IM daily (adults only)
3,Severe Malaria,Parenteral Treatment Options 4,Quinine 20 mg/kg loading then 10 mg/kg every 8 hrs
3,Severe Malaria > Follow Up Oral,After Artemisinin,Full course of ACT
3,Severe Malaria > Follow Up Oral,After Quinine,Quinine + doxycycline or clindamycin for 7 days
3,Severe Malaria,Donts 1,no corticosteroids
3,Severe Malaria,Donts 2,no mannitol
3,Severe Malaria,Donts 3,no heparin
3,Severe Malaria,Donts 4,no overhydration
3,Severe Malaria,Donts 5,avoid mefloquine in cerebral malaria
3,General,Referral Criteria 1,fever persists > 24 hours
3,General,Referral Criteria 2,continuous vomiting
3,General,Referral Criteria 3,increasing headache
3,General,Referral Criteria 4,altered sensorium
3,General,Referral Criteria 5,convulsions
3,General,Referral Criteria 6,bleeding
3,General,Referral Criteria 7,jaundice
3,General,Referral Criteria 8,severe weakness
3,General,Referral Criteria 9,suspected severe anemia
3,Drug Resistance,Definition,parasite survival despite adequate drug levels
3,Drug Resistance,Causes 1,incomplete treatment
3,Drug Resistance,Causes 2,low dosage
3,Drug Resistance,Causes 3,vomiting
3,Drug Resistance,Causes 4,poor absorption
3,Drug Resistance,Causes 5,poor drug quality
3,Drug Resistance,Why Act Effective,multiple drugs act on different parasite targets
3,Drug Resistance,Suspect Resistance When,symptoms persist after 72 hours of full treatment
3,Chemoprophylaxis > Short Term Travel,Drug,Doxycycline
3,Chemoprophylaxis > Short Term Travel,Dose,100 mg daily (adults)
3,Chemoprophylaxis > Short Term Travel,Duration,2 days before to 4 weeks after travel
3,Chemoprophylaxis > Short Term Travel,Contraindications 1,pregnancy
3,Chemoprophylaxis > Short Term Travel,Contraindications 2,children < 8 years
3,Chemoprophylaxis > Long Term Exposure,Drug,Mefloquine
3,Chemoprophylaxis > Long Term Exposure,Dose,250 mg weekly
3,Chemoprophylaxis > Long Term Exposure,Contraindications 1,psychiatric illness
3,Chemoprophylaxis > Long Term Exposure,Contraindications 2,seizure disorders
3,Chemoprophylaxis > Long Term Exposure,Contraindications 3,cardiac disease
3,Supportive Care > Paracetamol,Role,symptomatic fever control
3,Supportive Care > Paracetamol,Safe In,all ages including pregnancy
3,Supportive Care > Paracetamol,Note,does not treat malaria itself
3,Community Level Guidance,First Dose,always under supervision
3,Community Level Guidance,Vomiting Rule,repeat dose if vomited within 15 minutes
3,Community Level Guidance,Education 1,complete full treatment
3,Community Level Guidance,Education 2,return if fever persists
3,Community Level Guidance,Education 3,use insecticide-treated nets
3,General,Chatbot Supported Intents 1,How is malaria diagnosed in India?
3,General,Chatbot Supported Intents 2,What is the treatment for P. vivax malaria?
3,General,Chatbot Supported Intents 3,What drug is used for falciparum malaria?
3,General,Chatbot Supported Intents 4,What is ACT-SP and ACT-AL?
3,General,Chatbot Supported Intents 5,What is the treatment for malaria in pregnancy?
3,General,Chatbot Supported Intents 6,How is severe malaria treated?
3,General,Chatbot Supported Intents 7,When should a malaria patient be referred?
3,General,Chatbot Supported Intents 8,Why does malaria drug resistance occur?
3,General,Chatbot Supported Intents 9,What is malaria chemoprophylaxis?
3,General,Chatbot Supported Intents 10,Which malaria drugs are contraindicated in pregnancy?
4,Source,Title,Malaria
4,Source,Publisher,Institute of Tropical Medicine
4,Source,Document Type,lecture notes
4,Source,Pages,56
4,Source,Last Updated,2025-01-22
4,Source,Credibility,high
4,Disease,Name,Malaria
4,Disease,Type,parasitic infectious disease
4,Disease,Causative Genus,Plasmodium
4,Summary,Global Importance,Major cause of morbidity and mortality in tropical regions
4,Summary,Primary Transmission,Female Anopheles mosquito bite (night-biting)
4,Summary,High Risk Parasite,Plasmodium falciparum
4,Summary,Asymptomatic Carriage,Common in semi-immune populations
4,Summary,Clinical Diagnosis,Unreliable without parasite confirmation
4,Plasmodium Species > Falciparum,Severity,highest
4,Plasmodium Species > Falciparum,Mortality,high
4,Plasmodium Species > Falciparum,Features 1,cerebral malaria
4,Plasmodium Species > Falciparum,Features 2,severe anemia
4,Plasmodium Species > Falciparum,Features 3,renal failure
4,Plasmodium Species > Falciparum,Features 4,high parasitaemia
4,Plasmodium Species > Falciparum,Features 5,sequestration in deep organs
4,Plasmodium Species > Falciparum,No Hypnozoites,True
4,Plasmodium Species > Vivax,Distribution,widest
4,Plasmodium Species > Vivax,Hypnozoites,True
4,Plasmodium Species > Vivax,Relapse,True
4,Plasmodium Species > Vivax,Special Notes 1,infects reticulocytes
4,Plasmodium Species > Vivax,Special Notes 2,requires primaquine for radical cure
4,Plasmodium Species > Vivax,Special Notes 3,Duffy antigen dependent
4,Plasmodium Species > Ovale,Hypnozoites,True
4,Plasmodium Species > Ovale,Relapse,True
4,Plasmodium Species > Ovale,Geography,mainly West Africa
4,Plasmodium Species > Malariae,Chronic Infection,True
4,Plasmodium Species > Malariae,Fever Pattern,72-hour (quartan)
4,Plasmodium Species > Malariae,Complication,nephrotic syndrome
4,Plasmodium Species > Knowlesi,Zoonotic,True
4,Plasmodium Species > Knowlesi,Reservoir,monkeys
4,Plasmodium Species > Knowlesi,Cycle Duration,24 hours
4,Plasmodium Species > Knowlesi,Region,Southeast Asia
4,Plasmodium Species > Knowlesi,Diagnostic Note,often misidentified as P. malariae
4,Transmission > Vector,Species Count,400
4,Transmission > Vector,Effective Vectors,40
4,Transmission > Vector,Major Vector,Anopheles gambiae
4,Transmission > Vector,Activity,night
4,Transmission > Vector,Biting Behavior 1,endophagic
4,Transmission > Vector,Biting Behavior 2,anthropophagic
4,Transmission > Vector,Flight Range Km,several per night
4,Transmission,Other Modes 1,blood transfusion
4,Transmission,Other Modes 2,shared needles
4,Transmission,Other Modes 3,congenital malaria
4,Life Cycle,Human Stages 1,sporozoite
4,Life Cycle,Human Stages 2,liver schizont
4,Life Cycle,Human Stages 3,merozoite
4,Life Cycle,Human Stages 4,ring form
4,Life Cycle,Human Stages 5,trophozoite
4,Life Cycle,Human Stages 6,schizont
4,Life Cycle,Human Stages 7,gametocyte
4,Life Cycle,Mosquito Stages 1,gametocyte ingestion
4,Life Cycle,Mosquito Stages 2,zygote
4,Life Cycle,Mosquito Stages 3,ookinete
4,Life Cycle,Mosquito Stages 4,oocyst
4,Life Cycle,Mosquito Stages 5,sporozoite
4,Life Cycle,Key Points 1,liver stage asymptomatic
4,Life Cycle,Key Points 2,hypnozoites only in vivax and ovale
