Record,Section,Field,Value
1,Risk Factors,Medical 2,Diabetes
1,Risk Factors,Medical 3,Malnutrition
1,Risk Factors,Medical 4,Silicosis
1,Risk Factors,Medical 5,Chronic kidney disease
1,Risk Factors,Social 1,Poverty
1,Risk Factors,Social 2,Overcrowding
1,Risk Factors,Social 3,Poor ventilation
1,Risk Factors,Social 4,Smoking
1,Risk Factors,Social 5,Alcohol use
1,Risk Factors,High Risk Groups 1,Children
1,Risk Factors,High Risk Groups 2,Elderly
1,Risk Factors,High Risk Groups 3,Healthcare workers
1,Risk Factors,High Risk Groups 4,People living with HIV
1,Risk Factors,High Risk Groups 5,Close contacts of TB patients
1,Diagnosis,Screening Tests 1,Tuberculin Skin Test (TST)
1,Diagnosis,Screening Tests 2,Interferon-Gamma Release Assay (IGRA)
1,Diagnosis > Diagnostic Tests > Sputum Smear Microscopy,Purpose,Detect acid-fast bacilli
1,Diagnosis > Diagnostic Tests > Sputum Smear Microscopy,Limitations,Low sensitivity
1,Diagnosis > Diagnostic Tests > Cbnaat Gene Xpert,Purpose,Detect TB and rifampicin resistance
1,Diagnosis > Diagnostic Tests > Cbnaat Gene Xpert,Advantage,Rapid and accurate
1,Diagnosis > Diagnostic Tests > Culture,Gold Standard,True
1,Diagnosis > Diagnostic Tests > Culture,Time Required,2–8 weeks
1,Diagnosis > Diagnostic Tests,Imaging 1,Chest X-ray
1,Diagnosis > Diagnostic Tests,Imaging 2,CT scan
1,Treatment > Standard Drug Sensitive Tb,Duration,6 months
1,Treatment > Standard Drug Sensitive Tb,Intensive Phase 1,Isoniazid
1,Treatment > Standard Drug Sensitive Tb,Intensive Phase 2,Rifampicin
1,Treatment > Standard Drug Sensitive Tb,Intensive Phase 3,Pyrazinamide
1,Treatment > Standard Drug Sensitive Tb,Intensive Phase 4,Ethambutol
1,Treatment > Standard Drug Sensitive Tb,Continuation Phase 1,Isoniazid
1,Treatment > Standard Drug Sensitive Tb,Continuation Phase 2,Rifampicin
1,Treatment > Drug Resistant Tb,Types 1,MDR-TB
1,Treatment > Drug Resistant Tb,Types 2,XDR-TB
1,Treatment > Drug Resistant Tb,Treatment Duration,9–20 months
1,Treatment > Drug Resistant Tb,Complexity,More toxic and expensive
1,Treatment,Treatment Principles 1,Complete full course
1,Treatment,Treatment Principles 2,Directly Observed Treatment (DOT)
1,Treatment,Treatment Principles 3,Regular follow-up
1,Drug Resistance,Causes 1,Incomplete treatment
1,Drug Resistance,Causes 2,Incorrect drug use
1,Drug Resistance,Causes 3,Poor adherence
1,Drug Resistance,Causes 4,Interrupted drug supply
1,Drug Resistance,Public Health Threat,True
1,Prevention,Infection Control 1,Early diagnosis
1,Prevention,Infection Control 2,Complete treatment
1,Prevention,Infection Control 3,Isolation of infectious cases
1,Prevention,Environmental Measures 1,Good ventilation
1,Prevention,Environmental Measures 2,Sunlight
1,Prevention,Environmental Measures 3,Reduced overcrowding
1,Prevention,Personal Protection 1,Mask use
1,Prevention,Personal Protection 2,Respiratory hygiene
1,Vaccination > Bcg Vaccine,Full Name,Bacillus Calmette–Guérin
1,Vaccination > Bcg Vaccine,Target Group,Infants
1,Vaccination > Bcg Vaccine,Effectiveness 1,Prevents severe TB in children
1,Vaccination > Bcg Vaccine,Effectiveness 2,Limited protection against adult pulmonary TB
1,Vaccination > Bcg Vaccine,Status,Part of routine immunization in many countries
1,Tb And Hiv,Relationship,TB is the leading cause of death among people with HIV
1,Tb And Hiv,Management 1,Routine TB screening in HIV patients
1,Tb And Hiv,Management 2,Integrated TB-HIV care
1,Who Response > End Tb Strategy,Goal,End TB epidemic
1,Who Response > End Tb Strategy,Target Year,2035
1,Who Response > End Tb Strategy,Key Pillars 1,Integrated patient-centered care
1,Who Response > End Tb Strategy,Key Pillars 2,Bold policies and supportive systems
1,Who Response > End Tb Strategy,Key Pillars 3,Intensified research and innovation
1,Who Response,Global Actions 1,Expanded access to diagnostics
1,Who Response,Global Actions 2,Improved treatment regimens
1,Who Response,Global Actions 3,Support for drug-resistant TB management
1,Patient Guidance,Do 1,Take medicines regularly
1,Patient Guidance,Do 2,Cover mouth when coughing
1,Patient Guidance,Do 3,Attend follow-up visits
1,Patient Guidance,Do Not 1,Stop medicines early
1,Patient Guidance,Do Not 2,Skip doses
1,Patient Guidance,Do Not 3,Ignore symptoms
1,General,Chatbot Use Cases 1,TB symptom checker
1,General,Chatbot Use Cases 2,Latent vs active TB education
1,General,Chatbot Use Cases 3,Treatment adherence support
1,General,Chatbot Use Cases 4,Drug-resistant TB awareness
1,General,Chatbot Use Cases 5,Public health education
1,General,Chatbot Use Cases 6,WHO End TB awareness
2,Disease,Name,Tuberculosis
2,Disease,Variant,Drug-Resistant Tuberculosis
2,Disease,Abbreviation,DR-TB
2,Disease,Causative Agent,Mycobacterium tuberculosis
2,Disease,Disease Type,Airborne infectious bacterial disease
2,Disease,Primary Affected Organs 1,Lungs
2,Disease,Human Reservoir,True
2,Definitions,Drug Resistant Tb,Tuberculosis caused by Mycobacterium tuberculosis strains resistant to one or more anti-TB drugs
2,Definitions > Mdr Tb,Full Form,Multidrug-Resistant Tuberculosis
2,Definitions > Mdr Tb,Definition,Resistance to at least isoniazid and rifampicin
2,Definitions > Xdr Tb,Full Form,Extensively Drug-Resistant Tuberculosis
2,Definitions > Xdr Tb,Definition,MDR-TB with resistance to fluoroquinolones and at least one additional Group A drug
2,Key Facts,Global Threat,True
2,Key Facts,Treatment Complexity,"More difficult, longer, costlier and more toxic than drug-sensitive TB"
2,Key Facts,Public Health Impact,Major obstacle to TB elimination
2,Key Facts,Preventable,True
2,Key Facts,Curable,True
2,Causes Of Drug Resistance,Biological 1,Genetic mutations in TB bacteria
2,Causes Of Drug Resistance,Programmatic 1,Incorrect prescription
2,Causes Of Drug Resistance,Programmatic 2,Poor-quality medicines
2,Causes Of Drug Resistance,Programmatic 3,Interrupted drug supply
2,Causes Of Drug Resistance,Programmatic 4,Inadequate treatment duration
2,Causes Of Drug Resistance,Patient Related 1,Poor adherence to treatment
2,Causes Of Drug Resistance,Patient Related 2,Stopping treatment early
2,Causes Of Drug Resistance,Patient Related 3,Missed doses
2,Transmission,Mode,Airborne
2,Transmission,Spread Mechanism 1,Coughing
2,Transmission,Spread Mechanism 2,Sneezing
2,Transmission,Spread Mechanism 3,Speaking
2,Transmission,Spread Mechanism 4,Singing
2,Transmission,Note,Drug-resistant TB spreads the same way as drug-sensitive TB
2,Symptoms,General Tb Symptoms 1,Persistent cough
2,Symptoms,General Tb Symptoms 2,Fever
2,Symptoms,General Tb Symptoms 3,Night sweats
2,Symptoms,General Tb Symptoms 4,Weight loss
2,Symptoms,General Tb Symptoms 5,Fatigue
2,Symptoms,Advanced Or Severe 1,Coughing up blood
2,Symptoms,Advanced Or Severe 2,Chest pain
2,Symptoms,Advanced Or Severe 3,Severe weakness
2,Risk Factors,Medical 1,Previous TB treatment
2,Risk Factors,Medical 2,HIV infection
2,Risk Factors,Medical 3,Diabetes
2,Risk Factors,Social 1,Poverty
2,Risk Factors,Social 2,Overcrowding
2,Risk Factors,Social 3,Malnutrition
2,Risk Factors,High Risk Groups 1,Previously treated TB patients
2,Risk Factors,High Risk Groups 2,Close contacts of DR-TB patients
2,Risk Factors,High Risk Groups 3,Healthcare workers
2,Diagnosis,Importance,Early detection is critical to prevent transmission
2,Diagnosis > Rapid Molecular Tests > Cbnaat Gene Xpert,Detects 1,TB bacteria
2,Diagnosis > Rapid Molecular Tests > Cbnaat Gene Xpert,Detects 2,Rifampicin resistance
2,Diagnosis > Rapid Molecular Tests > Cbnaat Gene Xpert,Advantage,Results within hours
2,Diagnosis > Rapid Molecular Tests > Line Probe Assay,Detects 1,Resistance to first-line and second-line drugs
2,Diagnosis > Culture And Dst,Description,Culture with drug susceptibility testing
2,Diagnosis > Culture And Dst,Gold Standard,True
2,Diagnosis > Culture And Dst,Time Required,Several weeks
2,Diagnosis,Imaging 1,Chest X-ray
2,Diagnosis,Imaging 2,CT scan
2,Treatment,General Principles 1,Individualized treatment based on drug susceptibility
2,Treatment,General Principles 2,Longer treatment duration
2,Treatment,General Principles 3,Strict adherence required
2,Treatment,General Principles 4,Regular monitoring for side effects
2,Treatment > Who Recommended Regimens > Shorter All Oral Regimen,Duration,9–12 months
2,Treatment > Who Recommended Regimens > Shorter All Oral Regimen,Features 1,All oral drugs
2,Treatment > Who Recommended Regimens > Shorter All Oral Regimen,Features 2,No injectable agents
2,Treatment > Who Recommended Regimens > Longer Regimen,Duration,18–20 months
2,Treatment > Who Recommended Regimens > Longer Regimen,Used When,Resistance to key drugs present
2,Treatment > Drug Groups,Group A 1,Bedaquiline
2,Treatment > Drug Groups,Group A 2,Levofloxacin or Moxifloxacin
2,Treatment > Drug Groups,Group A 3,Linezolid
2,Treatment > Drug Groups,Group B 1,Clofazimine
2,Treatment > Drug Groups,Group B 2,Cycloserine
2,Treatment > Drug Groups,Group C 1,Ethambutol
2,Treatment > Drug Groups,Group C 2,Delamanid
2,Treatment > Drug Groups,Group C 3,Pyrazinamide
2,Treatment > Drug Groups,Group C 4,Imipenem-cilastatin
2,Treatment > Drug Groups,Group C 5,Amikacin
2,Treatment Challenges,Side Effects 1,Hearing loss
2,Treatment Challenges,Side Effects 2,Peripheral neuropathy
2,Treatment Challenges,Side Effects 3,Psychiatric symptoms
2,Treatment Challenges,Side Effects 4,QT prolongation
2,Treatment Challenges,Economic 1,High treatment cost
2,Treatment Challenges,Economic 2,Loss of income
2,Treatment Challenges,Adherence Issues 1,Long duration
2,Treatment Challenges,Adherence Issues 2,Drug toxicity
2,Prevention,Primary Prevention 1,Early diagnosis
2,Prevention,Primary Prevention 2,Appropriate TB treatment
2,Prevention,Primary Prevention 3,Infection control
2,Prevention,Programmatic Measures 1,Directly Observed Treatment (DOT)
2,Prevention,Programmatic Measures 2,Uninterrupted drug supply
2,Prevention,Programmatic Measures 3,Quality-assured medicines
2,Prevention,Infection Control Measures 1,Ventilation
2,Prevention,Infection Control Measures 2,Respiratory hygiene
2,Prevention,Infection Control Measures 3,Use of masks
2,Tb Hiv Coinfection,Risk,Higher risk of DR-TB
2,Tb Hiv Coinfection,Management 1,Integrated TB-HIV services
2,Tb Hiv Coinfection,Management 2,Early antiretroviral therapy
2,Who Response,Global Strategy,End TB Strategy
2,Who Response,Key Actions 1,Universal access to rapid diagnostics
2,Who Response,Key Actions 2,All-oral DR-TB regimens
2,Who Response,Key Actions 3,Patient-centered care
2,Who Response,Key Actions 4,Surveillance of drug resistance
2,Who Response,Goals 1,Reduce TB deaths
2,Who Response,Goals 2,Reduce TB incidence
2,Who Response,Goals 3,Eliminate catastrophic costs
2,Patient Guidance,Do 1,Take medicines exactly as prescribed
2,Patient Guidance,Do 2,Attend all follow-up visits
2,Patient Guidance,Do 3,Report side effects early
2,Patient Guidance,Do Not 1,Skip doses
2,Patient Guidance,Do Not 2,Stop treatment early
2,Patient Guidance,Do Not 3,Share medicines
2,General,Chatbot Use Cases 1,DR-TB education chatbot
2,General,Chatbot Use Cases 2,Symptom screening assistant
2,General,Chatbot Use Cases 3,Treatment adherence support
2,General,Chatbot Use Cases 4,Side-effect monitoring bot
2,General,Chatbot Use Cases 5,Public health awareness chatbot
2,General,Chatbot Use Cases 6,WHO End TB campaign chatbot
3,Disease,Name,Tuberculosis
3,Disease,Abbreviation,TB
3,Disease,Causative Agent,Mycobacterium tuberculosis
3,Disease,Mycobacterium Complex 1,Mycobacterium tuberculosis
3,Disease,Mycobacterium Complex 2,Mycobacterium bovis
3,Disease,Mycobacterium Complex 3,Mycobacterium africanum
3,Disease,Mycobacterium Complex 4,Mycobacterium canettii
3,Disease,Mycobacterium Complex 5,Mycobacterium microti
3,Disease,Disease Type,Airborne infectious disease
3,Disease,Primary Affected Organs 1,Lungs
3,Disease,Other Affected Organs 1,Lymph nodes
3,Disease,Other Affected Organs 2,Bones
3,Disease,Other Affected Organs 3,Joints
3,Disease,Other Affected Organs 4,Brain
3,Disease,Other Affected Organs 5,Kidneys
3,Disease,Human Reservoir,True
3,Introduction,Context,"TB is a major public health disease requiring coordinated laboratory, clinical and public health action"
3,Introduction,Laboratory Role,Microbacteriology laboratories are frontline in TB control and elimination
3,Global Burden,Estimated Latent Infections,2000000000
3,Global Burden,Global Population Fraction,Approximately one-third
3,Global Burden,New Cases 2011,8700000
3,Global Burden,Tb Hiv Coinfection Percentage,13
3,Global Burden,Tb Deaths 2011,1400000
3,Global Burden,High Burden Regions 1,Sub-Saharan Africa
3,Global Burden,High Burden Regions 2,South-East Asia
3,Global Burden > Case Distribution,Resource Limited Countries,Over 95%
3,Global Burden > Case Distribution,Top 22 Countries Share,80% of global cases
3,Transmission,Mode,Airborne
3,Transmission > Infectious Particles,Type,Droplet nuclei
3,Transmission > Infectious Particles,Size Microns,1–5
3,Transmission,Spread Mechanism 1,Coughing
3,Transmission,Spread Mechanism 2,Sneezing
3,Transmission,Spread Mechanism 3,Shouting
3,Transmission,Spread Mechanism 4,Singing
3,Transmission,Airborne Persistence,Droplet nuclei remain airborne long after infected person leaves the room
3,Transmission,Site Of Infection,Alveoli of lungs
3,Tb Infection Vs Disease > Latent Tb Infection,Abbreviation,LTBI
3,Tb Infection Vs Disease > Latent Tb Infection,Bacteria Status,Alive but inactive
3,Tb Infection Vs Disease > Latent Tb Infection,Symptoms,None
3,Tb Infection Vs Disease > Latent Tb Infection,Infectious,False
3,Tb Infection Vs Disease > Latent Tb Infection,Afb Smear,Negative
3,Tb Infection Vs Disease > Latent Tb Infection,Culture,Negative
3,Tb Infection Vs Disease > Latent Tb Infection,Isolation Required,False
3,Tb Infection Vs Disease > Latent Tb Infection,Treatment,Recommended but voluntary
3,Tb Infection Vs Disease > Active Tb Disease,Bacteria Status,Actively multiplying
3,Tb Infection Vs Disease > Active Tb Disease,Symptoms,Present
3,Tb Infection Vs Disease > Active Tb Disease,Infectious,True
3,Tb Infection Vs Disease > Active Tb Disease,Afb Smear,May be positive
3,Tb Infection Vs Disease > Active Tb Disease,Culture,May be positive
3,Tb Infection Vs Disease > Active Tb Disease,Isolation Required,True
3,Tb Infection Vs Disease > Active Tb Disease,Public Health Reporting,True
3,Risk Factors For Infection,Environmental 1,Crowded living conditions
3,Risk Factors For Infection,Environmental 2,Prisons
3,Risk Factors For Infection,Environmental 3,Homeless shelters
3,Risk Factors For Infection,Environmental 4,Long-term care facilities
3,Risk Factors For Infection,Geographic 1,Residence in high TB incidence countries
3,Risk Factors For Infection,Geographic 2,Travel to TB endemic areas
3,Risk Factors For Infection,Occupational 1,Healthcare workers
3,Risk Factors For Infection,Occupational 2,Laboratory workers
3,Risk Of Progression,Highest Risk Period,First 2 years after infection
3,Risk Of Progression > Progression Statistics,First 2 Years,≈5%
3,Risk Of Progression > Progression Statistics,Later Life,≈5%
3,Risk Of Progression > Progression Statistics,Lifetime Risk,≈10% if untreated
3,Risk Of Progression,Increased Risk Conditions 1,Diabetes
3,Risk Of Progression,Increased Risk Conditions 2,HIV
3,Risk Of Progression,Increased Risk Conditions 3,Other immunocompromising conditions
3,Signs And Symptoms,General 1,Fever
3,Signs And Symptoms,General 2,Weight loss
3,Signs And Symptoms,General 3,Night sweats
3,Signs And Symptoms,General 4,Fatigue
3,Signs And Symptoms,Pulmonary Tb 1,Cough lasting more than 2 weeks
3,Signs And Symptoms,Pulmonary Tb 2,Productive cough
3,Signs And Symptoms,Pulmonary Tb 3,Hemoptysis (bloody sputum)
3,Signs And Symptoms,Pulmonary Tb 4,Chest pain
3,Signs And Symptoms > Extrapulmonary Tb,Symptoms Vary By Site,True
3,Diagnosis,Diagnostic Approach 1,Clinical symptoms
3,Diagnosis,Diagnostic Approach 2,Chest X-ray
3,Diagnosis,Diagnostic Approach 3,Clinical judgment
3,Diagnosis,Diagnostic Approach 4,Laboratory testing
3,Diagnosis > Laboratory Tests > Afb Smear Microscopy,Purpose,Detect acid-fast bacilli
3,Diagnosis > Laboratory Tests > Naat,Full Form,Nucleic Acid Amplification Test
3,Diagnosis > Laboratory Tests > Naat,Purpose,Rapid detection of TB
3,Diagnosis > Laboratory Tests > Culture And Identification,Importance,Gold standard for confirmation
3,Diagnosis > Laboratory Tests > Drug Susceptibility Testing,Abbreviation,DST
3,Diagnosis > Laboratory Tests > Drug Susceptibility Testing,Purpose,Guide effective treatment
3,Diagnosis > Us Statistics,Culture Confirmed Cases,≈75%
3,Diagnosis > Us Statistics,Clinical Diagnosis Without Confirmation,Allowed and treated empirically
3,Treatment > Latent Tb Infection,Regimens 1,9 months isoniazid
3,Treatment > Latent Tb Infection,Regimens 2,4 months rifampin
3,Treatment > Latent Tb Infection,Regimens 3,3 months isoniazid + rifapentine (DOT)
3,Treatment > Latent Tb Infection,Effectiveness,All regimens equally effective
3,Treatment > Drug Susceptible Tb,Total Duration,6 months
3,Treatment > Drug Susceptible Tb > Intensive Phase,Duration,2 months
3,Treatment > Drug Susceptible Tb > Intensive Phase,Drugs 1,Isoniazid
3,Treatment > Drug Susceptible Tb > Intensive Phase,Drugs 2,Rifampin
3,Treatment > Drug Susceptible Tb > Intensive Phase,Drugs 3,Ethambutol
3,Treatment > Drug Susceptible Tb > Intensive Phase,Drugs 4,Pyrazinamide
3,Treatment > Drug Susceptible Tb > Continuation Phase,Duration,4 months
3,Treatment > Drug Susceptible Tb > Continuation Phase,Drugs 1,Isoniazid
3,Treatment > Drug Susceptible Tb > Continuation Phase,Drugs 2,Rifampin
3,Drug Resistant Tb > Mdr Tb,Definition,Resistance to isoniazid and rifampin
3,Drug Resistant Tb > Mdr Tb,Global New Cases Percentage,3.7%
3,Drug Resistant Tb > Mdr Tb,Previously Treated Cases Percentage,20%
3,Drug Resistant Tb > Xdr Tb,Definition,MDR-TB plus resistance to fluoroquinolones and second-line injectables
3,Drug Resistant Tb > Xdr Tb,Second Line Injectables 1,Amikacin
3,Drug Resistant Tb > Xdr Tb,Second Line Injectables 2,Kanamycin
3,Drug Resistant Tb > Xdr Tb,Second Line Injectables 3,Capreomycin
3,Drug Resistant Tb,High Burden Countries 1,India
3,Drug Resistant Tb,High Burden Countries 2,China
3,Mdr Tb Treatment,Duration,At least 2 years
3,Mdr Tb Treatment,Drug Type,Second-line drugs
3,Mdr Tb Treatment,Challenges 1,High cost
3,Mdr Tb Treatment,Challenges 2,Limited availability
3,Mdr Tb Treatment,Challenges 3,Severe adverse effects
3,Mdr Tb Treatment,Challenges 4,Poor tolerance
3,Mdr Tb Treatment,Resistance Causes 1,Inappropriate drug use
3,Mdr Tb Treatment,Resistance Causes 2,Poor adherence
3,Mdr Tb Treatment,Resistance Causes 3,Poor-quality medicines
3,Directly Observed Therapy,Abbreviation,DOT
3,Directly Observed Therapy,Description,Patient observed taking every dose
3,Directly Observed Therapy,Benefits 1,Improved treatment success
3,Directly Observed Therapy,Benefits 2,Early detection of side effects
3,Directly Observed Therapy,Benefits 3,Reduced resistance
3,Directly Observed Therapy,Limitations,Resource intensive
3,Laboratory Importance,Roles 1,Early detection of MTBC
3,Laboratory Importance,Roles 2,Preventing transmission
3,Laboratory Importance,Roles 3,Drug susceptibility testing
3,Laboratory Importance,Roles 4,Monitoring treatment response
3,Laboratory Importance,Public Health Impact,Essential for TB control and elimination
3,Epidemiology Us,Case Rate 2009,"3.6 per 100,000"
3,Epidemiology Us,Case Rate 2011,"3.4 per 100,000"
3,Epidemiology Us > Foreign Born Cases,1993,29%
3,Epidemiology Us > Foreign Born Cases,2011,62%
3,Epidemiology Us > Foreign Born Cases,Top Countries 1,Mexico
3,Epidemiology Us > Foreign Born Cases,Top Countries 2,Philippines
3,Epidemiology Us > Foreign Born Cases,Top Countries 3,India
3,Epidemiology Us > Foreign Born Cases,Top Countries 4,Vietnam
3,Epidemiology Us > Foreign Born Cases,Top Countries 5,China
3,General,Chatbot Use Cases 1,TB education chatbot
3,General,Chatbot Use Cases 2,LTBI vs TB disease explanation
3,General,Chatbot Use Cases 3,Symptom screening assistant
3,General,Chatbot Use Cases 4,Laboratory diagnostics education
3,General,Chatbot Use Cases 5,MDR/XDR-TB awareness
3,General,Chatbot Use Cases 6,Public health training chatbot
3,General,Chatbot Use Cases 7,Student MCQ practice bot
4,Disease,Name,Tuberculosis
4,Disease,Aliases 1,TB
4,Disease,Type,Infectious disease
4,Disease > Causative Agent,Primary,Mycobacterium tuberculosis
4,Disease > Causative Agent,Other Species 1,Mycobacterium bovis
4,Disease > Causative Agent,Other Species 2,Mycobacterium africanum
4,Disease > Causative Agent,Other Species 3,Non-tuberculous mycobacteria (environmental mycobacteria)
4,Disease > Transmission,Mode,Airborne
4,Disease > Transmission,How It Spreads 1,Coughing
4,Disease > Transmission,How It Spreads 2,Talking
4,Disease > Transmission,How It Spreads 3,Sneezing
4,Disease > Transmission,Infectious Sources 1,Smear-positive pulmonary TB patients
4,Disease > Transmission,Non Significant Sources 1,Urine
4,Disease > Transmission,Non Significant Sources 2,Non-aerosol body fluids
4,Disease > Transmission,Non Significant Sources 3,Most children with TB
4,Disease > Transmission,Infectious Period,Usually reduces within 2 weeks of effective treatment
4,Global Burden,Annual Cases Estimate,Approximately 9 million
4,Global Burden,Annual Deaths Estimate,1.7 million (WHO 2004)
4,Global Burden,High Burden Regions 1,Africa
4,Global Burden,High Burden Regions 2,South-East Asia
4,Global Burden,High Burden Regions 3,Western Pacific
4,Global Burden,High Burden Regions 4,Eastern Europe
4,Global Burden,High Burden Regions 5,Former Soviet Union
4,Global Burden,Key Drivers 1,HIV infection
4,Global Burden,Key Drivers 2,Poverty
4,Global Burden,Key Drivers 3,Malnutrition
4,Global Burden,Key Drivers 4,Overcrowding
4,Global Burden,Key Drivers 5,Weak health systems
4,Symptoms,General 1,Prolonged cough (more than 3 weeks)
4,Symptoms,General 2,Fever
4,Symptoms,General 3,Fatigue
4,Symptoms,General 4,Weight loss
4,Symptoms,General 5,Night sweats
4,Symptoms,Respiratory 1,Chest pain
4,Symptoms,Respiratory 2,Coughing up blood (hemoptysis)
4,Symptoms > Extra Pulmonary,Common Sites 1,Lymph nodes
4,Symptoms > Extra Pulmonary,Common Sites 2,Bones and joints
4,Symptoms > Extra Pulmonary,Common Sites 3,Brain and spinal cord
4,Symptoms > Extra Pulmonary,Common Sites 4,Genitourinary system
4,Symptoms > Extra Pulmonary,Common Sites 5,Abdomen
4,Symptoms > Extra Pulmonary,Common Sites 6,Skin
4,Symptoms > Extra Pulmonary,Common Sites 7,Eye
4,Symptoms,Children Specific 1,Failure to thrive
4,Symptoms,Children Specific 2,Persistent fever
4,Symptoms,Children Specific 3,Lymph node swelling
4,Symptoms,Children Specific 4,Meningitis symptoms
4,Risk Factors,Biological 1,HIV infection
4,Risk Factors,Biological 2,Young age (<2 years)
4,Risk Factors,Biological 3,Old age
4,Risk Factors,Biological 4,Immunosuppression
4,Risk Factors,Social 1,Poverty
4,Risk Factors,Social 2,Overcrowding
4,Risk Factors,Social 3,Malnutrition
4,Risk Factors,Social 4,Smoking
4,Risk Factors,Medical 1,Diabetes
4,Risk Factors,Medical 2,Cancer
4,Risk Factors,Medical 3,Immunosuppressive drugs
4,Diagnosis,Primary Method,Sputum smear microscopy
4,Diagnosis,Recommended Tests 1,Sputum smear (AFB)
4,Diagnosis,Recommended Tests 2,Chest X-ray
4,Diagnosis,Recommended Tests 3,Culture (where available)
4,Diagnosis,Recommended Tests 4,Tuberculin skin test (limited use)
4,Diagnosis,Recommended Tests 5,Molecular tests (where available)
4,Diagnosis,Diagnostic Rules 1,Never treat TB without sputum examination
4,Diagnosis,Diagnostic Rules 2,X-ray alone is insufficient
4,Diagnosis,Diagnostic Rules 3,Children may require clinical diagnosis
4,Treatment,Curability,Tuberculosis is curable
4,Treatment > Standard Regimens > New Cases,Duration,6–8 months
4,Treatment > Standard Regimens > New Cases,Core Drugs 1,Isoniazid
4,Treatment > Standard Regimens > New Cases,Core Drugs 2,Rifampicin
4,Treatment > Standard Regimens > New Cases,Core Drugs 3,Pyrazinamide
4,Treatment > Standard Regimens > New Cases,Core Drugs 4,Ethambutol
4,Treatment > Standard Regimens > Retreatment Cases,Applies To 1,Relapse
4,Treatment > Standard Regimens > Retreatment Cases,Applies To 2,Treatment failure
4,Treatment > Standard Regimens > Retreatment Cases,Applies To 3,Treatment after default
4,Treatment > Standard Regimens > Retreatment Cases,Note,Different standardized retreatment regimen required
4,Treatment,Key Rules 1,Never use a single drug alone
