Record,Section,Field,Value
2,Disease > Genotypes,Denv-4,4
2,Disease > Incubation Period Days,Average,4–6
2,Disease > Incubation Period Days,Range,3–14
2,Transmission,Primary Mode,Mosquito bite
2,Transmission,Vector 1,Aedes aegypti
2,Transmission,Vector 2,Aedes albopictus
2,Transmission > Vector Characteristics,Feeding Time,Day time
2,Transmission > Vector Characteristics,Flight Range Meters,400
2,Transmission > Vector Characteristics,Egg Survival,Up to 1 year in dry conditions
2,Transmission,Other Modes 1,Blood transfusion
2,Transmission,Other Modes 2,Organ transplantation
2,Transmission,Other Modes 3,Vertical transmission (rare)
2,Transmission,Other Modes 4,Perinatal transmission
2,Epidemiology,Endemic Regions,All Indian States/UTs except Ladakh
2,Epidemiology,Seasonality,Post-monsoon peak (July–November)
2,Epidemiology,Urban Rural Trend,Increasing rural spread
2,Epidemiology,Risk Factors Environmental 1,Stagnant water
2,Epidemiology,Risk Factors Environmental 2,Poor water storage
2,Epidemiology,Risk Factors Environmental 3,Construction sites
2,Epidemiology,Risk Factors Environmental 4,Urbanization
2,Epidemiology,Risk Factors Environmental 5,Climate change
2,Pathophysiology,Core Mechanisms 1,Antibody-dependent enhancement (ADE)
2,Pathophysiology,Core Mechanisms 2,Cytokine storm
2,Pathophysiology,Core Mechanisms 3,Vasculopathy
2,Pathophysiology,Core Mechanisms 4,Coagulopathy
2,Pathophysiology > Ade,Description,Non-neutralizing antibodies enhance viral entry into macrophages
2,Pathophysiology > Ade,Risk,Secondary heterologous infection
2,Pathophysiology > Cytokine Storm,Mediators 1,TNF-α
2,Pathophysiology > Cytokine Storm,Mediators 2,IFN-γ
2,Pathophysiology > Cytokine Storm,Mediators 3,IL-6
2,Pathophysiology > Cytokine Storm,Mediators 4,IL-8
2,Pathophysiology > Cytokine Storm,Mediators 5,IL-10
2,Pathophysiology > Cytokine Storm,Effects 1,Shock
2,Pathophysiology > Cytokine Storm,Effects 2,Organ dysfunction
2,Pathophysiology > Vasculopathy,Features 1,Capillary leakage
2,Pathophysiology > Vasculopathy,Features 2,Hemoconcentration
2,Pathophysiology > Vasculopathy,Features 3,Pleural effusion
2,Pathophysiology > Vasculopathy,Features 4,Ascites
2,Pathophysiology > Coagulopathy,Features 1,Prolonged aPTT
2,Pathophysiology > Coagulopathy,Features 2,Low fibrinogen
2,Pathophysiology > Coagulopathy,Features 3,Thrombocytopenia
2,Pathophysiology > Coagulopathy,Features 4,DIC
2,Clinical Phases 1,Phase,Febrile
2,Clinical Phases 1,Duration Days,2–7
2,Clinical Phases 1,Features 1,High-grade fever
2,Clinical Phases 1,Features 2,Headache
2,Clinical Phases 1,Features 3,Retro-orbital pain
2,Clinical Phases 1,Features 4,Myalgia
2,Clinical Phases 1,Features 5,Arthralgia
2,Clinical Phases 1,Features 6,Maculopapular rash
2,Clinical Phases 1,Features 7,Leucopenia
2,Clinical Phases 1,Features 8,Mild bleeding
2,Clinical Phases 2,Phase,Critical
2,Clinical Phases 2,Duration Hours,24–48
2,Clinical Phases 2,Features 1,Plasma leakage
2,Clinical Phases 2,Features 2,Rising hematocrit
2,Clinical Phases 2,Features 3,Rapid platelet fall
2,Clinical Phases 2,Features 4,Shock
2,Clinical Phases 2,Features 5,Organ impairment
2,Clinical Phases 3,Phase,Recovery
2,Clinical Phases 3,Duration Days,2–3
2,Clinical Phases 3,Features 1,Fluid reabsorption
2,Clinical Phases 3,Features 2,Rising platelets
2,Clinical Phases 3,Features 3,Convalescent rash
2,Clinical Phases 3,Features 4,Pruritus
2,Case Definitions > Probable,Criteria 1,Compatible clinical illness
2,Case Definitions > Probable,Criteria 2,NS1 or IgM positive by non-ELISA / RDT
2,Case Definitions > Probable,Note,RDT positive = probable only
2,Case Definitions > Confirmed,Criteria 1,NS1 ELISA positive
2,Case Definitions > Confirmed,Criteria 2,IgM ELISA positive
2,Case Definitions > Confirmed,Criteria 3,PCR positive
2,Case Definitions > Confirmed,Criteria 4,Virus isolation
2,Case Definitions > Confirmed,Criteria 5,IgG seroconversion (4-fold rise)
2,Classification > Group A,Label,Dengue without warning signs
2,Classification > Group A,Severity,Mild
2,Classification > Group A,Management,Home or OPD
2,Classification > Group B,Label,Dengue with warning signs / risk factors
2,Classification > Group B,Severity,Moderate
2,Classification > Group B,Management,Hospital admission
2,Classification > Group C,Label,Severe Dengue
2,Classification > Group C,Severity,Life-threatening
2,Classification > Group C,Management,ICU / Tertiary care
2,General,Warning Signs 1,Persistent vomiting
2,General,Warning Signs 2,Severe abdominal pain
2,General,Warning Signs 3,Lethargy or restlessness
2,General,Warning Signs 4,Bleeding from any site
2,General,Warning Signs 5,Clinical fluid accumulation
2,General,Warning Signs 6,Hepatomegaly >2 cm
2,General,Warning Signs 7,Rising hematocrit with falling platelets
2,General,Warning Signs 8,Syncope or giddiness
2,Severe Dengue Criteria,Shock,True
2,Severe Dengue Criteria,Severe Bleeding,True
2,Severe Dengue Criteria,Organ Dysfunction 1,Liver (AST/ALT ≥1000)
2,Severe Dengue Criteria,Organ Dysfunction 2,"CNS (GCS <9, encephalopathy)"
2,Severe Dengue Criteria,Organ Dysfunction 3,Kidney (AKI)
2,Severe Dengue Criteria,Organ Dysfunction 4,Heart (myocarditis)
2,Severe Dengue Criteria,Organ Dysfunction 5,Lungs (ARDS)
2,Diagnosis,Day 1 To 5 1,NS1 ELISA
2,Diagnosis,Day 1 To 5 2,PCR
2,Diagnosis,After Day 5 1,IgM ELISA
2,Diagnosis,Supportive Labs 1,CBC
2,Diagnosis,Supportive Labs 2,Hematocrit
2,Diagnosis,Supportive Labs 3,Platelet count
2,Diagnosis,Supportive Labs 4,LFT
2,Diagnosis,Supportive Labs 5,Coagulation profile
2,Treatment,General 1,Paracetamol only
2,Treatment,General 2,Avoid NSAIDs and aspirin
2,Treatment,General 3,Adequate oral/IV fluids
2,Treatment,General 4,Close monitoring
2,Treatment > Fluid Management,Preferred Fluids 1,Normal saline
2,Treatment > Fluid Management,Preferred Fluids 2,Ringer’s lactate
2,Treatment > Fluid Management,Avoid 1,Hypotonic fluids
2,Treatment,Severe Cases 1,Judicious IV fluids
2,Treatment,Severe Cases 2,Blood transfusion for bleeding
2,Treatment,Severe Cases 3,Colloids if refractory shock
2,Treatment,Severe Cases 4,Vasopressors if fluid unresponsive
2,Platelet Transfusion,Indicated If 1,Active bleeding with thrombocytopenia
2,Platelet Transfusion,Indicated If 2,"Platelets <10,000/mm³ (even without bleeding)"
2,Platelet Transfusion,Not Indicated 1,Prophylactic transfusion without bleeding
2,General,High Risk Groups 1,Infants
2,General,High Risk Groups 2,Children <10 years
2,General,High Risk Groups 3,Elderly >65 years
2,General,High Risk Groups 4,Pregnant women
2,General,High Risk Groups 5,Obesity
2,General,High Risk Groups 6,Diabetes
2,General,High Risk Groups 7,Hypertension
2,General,High Risk Groups 8,CKD
2,General,High Risk Groups 9,CLD
2,General,High Risk Groups 10,Patients on steroids or NSAIDs
2,General,Admission Criteria 1,Any warning sign
2,General,Admission Criteria 2,Significant bleeding
2,General,Admission Criteria 3,Persistent high fever
2,General,Admission Criteria 4,Postural hypotension
2,General,Admission Criteria 5,Shock
2,General,Admission Criteria 6,Neurological symptoms
2,General,Discharge Criteria 1,Afebrile for 24–48 hours
2,General,Discharge Criteria 2,Stable hemodynamics
2,General,Discharge Criteria 3,"Platelet count rising (>50,000/mm³)"
2,General,Discharge Criteria 4,Good urine output
2,General,Discharge Criteria 5,No respiratory distress
2,Pediatric Specific,Differences 1,Undifferentiated febrile illness common
2,Pediatric Specific,Differences 2,Higher risk of shock
2,Pediatric Specific,Differences 3,Rapid progression
2,Pediatric Specific,Management Notes 1,Weight-based fluid dosing
2,Pediatric Specific,Management Notes 2,Early PICU for severe cases
2,Monitoring,Vitals Frequency,"Every 30 min until stable, then 2–4 hourly"
2,Monitoring,Labs 1,Serial hematocrit
2,Monitoring,Labs 2,Platelet count
2,Monitoring,Labs 3,Urine output
2,General,Key Clinical Rules 1,Platelet count alone does not predict bleeding
2,General,Key Clinical Rules 2,Early shock recognition saves lives
2,General,Key Clinical Rules 3,Excess fluids cause harm
2,General,Key Clinical Rules 4,No role of steroids
3,Metadata,Title,Comprehensive Guidelines for Prevention and Control of Dengue and Dengue Haemorrhagic Fever
3,Metadata,Publisher,World Health Organization – South-East Asia Regional Office
3,Metadata,Year,2011
3,Metadata,Isbn,978-92-9022-394-8
3,Metadata,Scope,"Clinical management, epidemiology, vector control, surveillance, outbreak response"
3,Disease Overview,Name,Dengue Fever
3,Disease Overview,Severe Forms 1,Dengue Haemorrhagic Fever (DHF)
3,Disease Overview,Severe Forms 2,Dengue Shock Syndrome (DSS)
3,Disease Overview,Classification,Arboviral disease
3,Disease Overview,Public Health Importance,Fastest emerging arboviral disease globally
3,Disease Overview > Population At Risk,Global,≈2.5 billion
3,Disease Overview > Population At Risk,Asia Pacific Share,≈75%
3,Etiology,Virus Family,Flaviviridae
3,Etiology,Genus,Flavivirus
3,Etiology > Genome,Type,Single-stranded RNA
3,Etiology > Genome,Length Nt,11644
3,Etiology,Structural Proteins 1,C
3,Etiology,Structural Proteins 2,M
3,Etiology,Structural Proteins 3,E
3,Etiology,Non Structural Proteins 1,NS1
3,Etiology,Non Structural Proteins 2,NS2A
3,Etiology,Non Structural Proteins 3,NS2B
3,Etiology,Non Structural Proteins 4,NS3
3,Etiology,Non Structural Proteins 5,NS4A
3,Etiology,Non Structural Proteins 6,NS4B
3,Etiology,Non Structural Proteins 7,NS5
3,Etiology,Serotypes 1,DENV-1
3,Etiology,Serotypes 2,DENV-2
3,Etiology,Serotypes 3,DENV-3
3,Etiology,Serotypes 4,DENV-4
3,Etiology > Genotypes,Denv-1,3
3,Etiology > Genotypes,Denv-2,6
3,Etiology > Genotypes,Denv-3,4
3,Etiology > Genotypes,Denv-4,4
3,Etiology > Immunity,Primary,Lifelong immunity to same serotype
3,Etiology > Immunity,Secondary,Temporary cross-protection only
3,Etiology > Immunity,Risk,Secondary infection increases DHF/DSS risk
3,Vectors > Primary,Species,Aedes aegypti
3,Vectors > Primary > Behavior,Feeding,"Day-biting, multiple feeds"
3,Vectors > Primary > Behavior,Host Preference,Strongly anthropophilic
3,Vectors > Primary > Behavior,Habitat,"Urban, domestic containers"
3,Vectors > Primary,Vectorial Capacity,High
3,Vectors > Secondary,Species,Aedes albopictus
3,Vectors > Secondary > Behavior,Feeding,"Single-feed, aggressive"
3,Vectors > Secondary > Behavior,Host Preference,Humans and animals
3,Vectors > Secondary > Behavior,Habitat,"Peri-urban, rural"
3,Vectors > Secondary,Vectorial Capacity,Lower in urban epidemics
3,Transmission,Cycles 1,Enzootic (monkey–mosquito)
3,Transmission,Cycles 2,Epizootic (spillover)
3,Transmission,Cycles 3,Epidemic (human–mosquito–human)
3,Transmission > Incubation,Intrinsic Days,5–7
3,Transmission > Incubation,Extrinsic Days,8–12
3,Transmission > Infectious Period Human,Start,2 days before fever
3,Transmission > Infectious Period Human,End,5 days after fever onset
3,Epidemiology,Distribution,Tropical and subtropical regions
3,Epidemiology,Trend,Increasing incidence and geographic spread
3,Epidemiology,Seasonality,Rainy and post-monsoon season
3,Epidemiology,Risk Factors 1,Unplanned urbanization
3,Epidemiology,Risk Factors 2,Poor water storage
3,Epidemiology,Risk Factors 3,Solid waste accumulation
3,Epidemiology,Risk Factors 4,Global travel
3,Epidemiology,Risk Factors 5,Climate change
3,Clinical Spectrum > Iceberg Phenomenon,Asymptomatic,Majority
3,Clinical Spectrum > Iceberg Phenomenon,Dengue Fever,Common
3,Clinical Spectrum > Iceberg Phenomenon,Dhf,Less common
3,Clinical Spectrum > Iceberg Phenomenon,Dss,Least but most severe
3,Clinical Phases 1,Phase,Febrile
3,Clinical Phases 1,Features 1,High fever
3,Clinical Phases 1,Features 2,Headache
3,Clinical Phases 1,Features 3,Retro-orbital pain
3,Clinical Phases 1,Features 4,Myalgia
3,Clinical Phases 1,Features 5,Arthralgia
3,Clinical Phases 1,Features 6,Rash
3,Clinical Phases 1,Features 7,Leukopenia
3,Clinical Phases 2,Phase,Critical
3,Clinical Phases 2,Features 1,Plasma leakage
3,Clinical Phases 2,Features 2,Rising hematocrit
3,Clinical Phases 2,Features 3,Thrombocytopenia
3,Clinical Phases 2,Features 4,Shock
3,Clinical Phases 3,Phase,Recovery
3,Clinical Phases 3,Features 1,Fluid reabsorption
3,Clinical Phases 3,Features 2,Rising platelets
3,Clinical Phases 3,Features 3,Clinical improvement
3,Case Definitions > Dengue Fever,Criteria 1,Acute fever 2–7 days
3,Case Definitions > Dengue Fever,Criteria 2,Two or more symptoms
3,Case Definitions > Dengue Fever,Criteria 3,Headache / myalgia / rash / bleeding
3,Case Definitions > Dengue Haemorrhagic Fever,Criteria 1,Fever
3,Case Definitions > Dengue Haemorrhagic Fever,Criteria 2,Hemorrhagic tendency
3,Case Definitions > Dengue Haemorrhagic Fever,Criteria 3,Platelets <100000/mm3
3,Case Definitions > Dengue Haemorrhagic Fever,Criteria 4,Evidence of plasma leakage
3,Case Definitions > Dengue Shock Syndrome,Criteria 1,All DHF criteria
3,Case Definitions > Dengue Shock Syndrome,Criteria 2,Rapid weak pulse
3,Case Definitions > Dengue Shock Syndrome,Criteria 3,Narrow pulse pressure ≤20 mmHg
3,Case Definitions > Dengue Shock Syndrome,Criteria 4,Hypotension or shock
3,Expanded Dengue Syndrome,Neurological 1,Encephalopathy
3,Expanded Dengue Syndrome,Neurological 2,Seizures
3,Expanded Dengue Syndrome,Neurological 3,Intracranial bleed
3,Expanded Dengue Syndrome,Hepatic 1,Acute hepatitis
3,Expanded Dengue Syndrome,Hepatic 2,Fulminant liver failure
3,Expanded Dengue Syndrome,Renal 1,Acute renal failure
3,Expanded Dengue Syndrome,Cardiac 1,Myocarditis
3,Expanded Dengue Syndrome,Cardiac 2,Arrhythmia
3,Expanded Dengue Syndrome,Respiratory 1,ARDS
3,Expanded Dengue Syndrome,Respiratory 2,Pulmonary hemorrhage
3,Expanded Dengue Syndrome,Ocular 1,Macular hemorrhage
3,Expanded Dengue Syndrome,Ocular 2,Optic neuritis
3,Laboratory Diagnosis,Early Phase 1,NS1 ELISA
3,Laboratory Diagnosis,Early Phase 2,PCR
3,Laboratory Diagnosis,Late Phase 1,IgM ELISA
3,Laboratory Diagnosis,Late Phase 2,IgG seroconversion
3,Laboratory Diagnosis,Supportive 1,CBC
3,Laboratory Diagnosis,Supportive 2,Hematocrit
3,Laboratory Diagnosis,Supportive 3,Platelet count
3,Laboratory Diagnosis,Supportive 4,LFT
3,Laboratory Diagnosis,Supportive 5,Coagulation profile
3,Management,General Principles 1,No antiviral therapy
3,Management,General Principles 2,Early recognition of warning signs
3,Management,General Principles 3,Judicious fluid therapy
3,Management > Medications,Allowed 1,Paracetamol
3,Management > Medications,Avoid 1,Aspirin
3,Management > Medications,Avoid 2,NSAIDs
3,Management > Medications,Avoid 3,Steroids
3,Fluid Management,Preferred 1,Normal saline
3,Fluid Management,Preferred 2,Ringer lactate
3,Fluid Management,Avoid 1,Hypotonic fluids
3,Fluid Management,Risk,Overhydration causes pulmonary edema
3,Platelet Transfusion,Indications 1,Active bleeding with thrombocytopenia
3,Platelet Transfusion,Indications 2,Platelets <10000/mm3
3,Platelet Transfusion,Not Recommended 1,Prophylactic transfusion without bleeding
3,General,Warning Signs 1,Persistent vomiting
3,General,Warning Signs 2,Severe abdominal pain
3,General,Warning Signs 3,Bleeding
3,General,Warning Signs 4,Lethargy
3,General,Warning Signs 5,Decreased urine output
3,General,Warning Signs 6,Shock signs
3,General,High Risk Groups 1,Children
3,General,High Risk Groups 2,Pregnant women
3,General,High Risk Groups 3,Elderly
3,General,High Risk Groups 4,Diabetes
3,General,High Risk Groups 5,Hypertension
3,General,High Risk Groups 6,CKD
3,General,High Risk Groups 7,CLD
3,General,High Risk Groups 8,Immunocompromised
3,Surveillance,Types 1,Epidemiological surveillance
3,Surveillance,Types 2,Entomological surveillance
3,Surveillance,Indices 1,House Index
3,Surveillance,Indices 2,Container Index
3,Surveillance,Indices 3,Breteau Index
3,Vector Control,Environmental 1,Source reduction
3,Vector Control,Environmental 2,Water container management
3,Vector Control,Biological 1,Larvivorous fish
3,Vector Control,Biological 2,Bacterial larvicides
3,Vector Control,Chemical 1,Larvicides
3,Vector Control,Chemical 2,Space spraying (ULV)
3,Vector Control,Integrated Vector Management,True
3,Outbreak Response,Components 1,Early detection
3,Outbreak Response,Components 2,Rapid response teams
3,Outbreak Response,Components 3,Case investigation
3,Outbreak Response,Components 4,Risk communication
3,General,Key Public Health Messages 1,Most dengue deaths are preventable
3,General,Key Public Health Messages 2,Early fluid management saves lives
3,General,Key Public Health Messages 3,Vector control is the only prevention
3,General,Key Public Health Messages 4,Community participation is critical
4,Metadata,Title,"Dengue Fever: Causes, Treatment & Prevention"
4,Metadata,Type,Public Health Education Material
4,Metadata,Compiled By,"Dr. Bir Singh, MD"
4,Metadata,Institution,"Disease Outbreak Response Cell (DORC), AIIMS"
4,Metadata,Publication Date,May 2007
4,Metadata,Intended Audience,General public
4,Metadata,Language,English
4,Metadata,Geography,India
4,Disease,Name,Dengue Fever
4,Disease,Common Names 1,Break-bone fever
4,Disease,Common Names 2,Haddi Tod Bukhar
4,Disease,Nature,Communicable viral disease
4,Disease > Severity Profile,Simple Dengue,"Self-limiting, non-fatal"
4,Disease > Severity Profile,Dhf,Potentially fatal if untreated
4,Disease > Severity Profile,Dss,"Medical emergency, life-threatening"
4,Cause,Agent,Dengue virus
4,Cause,Virus Types 1,Type 1
4,Cause,Virus Types 2,Type 2
4,Cause,Virus Types 3,Type 3
4,Cause,Virus Types 4,Type 4
4,Transmission,Mode,Mosquito bite
4,Transmission > Vector,Species,Aedes mosquito
4,Transmission > Vector,Characteristics 1,Bites during daytime
4,Transmission > Vector,Characteristics 2,Bold and aggressive
4,Transmission > Vector,Characteristics 3,Breeds in clean stagnant water
4,Transmission > Seasonality India,High Risk Months 1,July
4,Transmission > Seasonality India,High Risk Months 2,August
4,Transmission > Seasonality India,High Risk Months 3,September
4,Transmission > Seasonality India,High Risk Months 4,October
4,Transmission > Seasonality India,Association,Rainy and post-rainy season
4,Transmission,Human To Mosquito Cycle 1,Mosquito bites infected person
4,Transmission,Human To Mosquito Cycle 2,Virus multiplies in mosquito
4,Transmission,Human To Mosquito Cycle 3,Mosquito bites healthy person
4,Transmission,Human To Mosquito Cycle 4,Virus transmitted to new host
4,Incubation Period,Average Days,5
4,Incubation Period,Range Days 1,3
4,Incubation Period,Range Days 2,10
4,Types Of Dengue 1,Type,Classical (Simple) Dengue Fever
4,Types Of Dengue 1,Fatal,False
4,Types Of Dengue 2,Type,Dengue Haemorrhagic Fever (DHF)
4,Types Of Dengue 2,Fatal,True
4,Types Of Dengue 3,Type,Dengue Shock Syndrome (DSS)
4,Types Of Dengue 3,Fatal,True
4,Symptoms,Classical Dengue 1,Sudden high fever with chills
4,Symptoms,Classical Dengue 2,Severe headache
4,Symptoms,Classical Dengue 3,Muscle and joint pain
4,Symptoms,Classical Dengue 4,Pain behind eyes
4,Symptoms,Classical Dengue 5,Extreme weakness
4,Symptoms,Classical Dengue 6,Loss of appetite
4,Symptoms,Classical Dengue 7,Nausea
4,Symptoms,Classical Dengue 8,Altered taste sensation
4,Symptoms,Classical Dengue 9,Mild throat pain
4,Symptoms,Classical Dengue 10,Abdominal pain
4,Symptoms,Classical Dengue 11,Depressed feeling
4,Symptoms,Classical Dengue 12,Skin rash (pinkish-red)
