Record,Section,Field,Value
1,Chatbot Intents,Symptom Check 1,What are symptoms of typhoid?
1,Chatbot Intents,Symptom Check 2,How does typhoid start?
1,Chatbot Intents,Diagnosis 1,How is typhoid confirmed?
1,Chatbot Intents,Diagnosis 2,Which test is best for typhoid?
1,Chatbot Intents,Treatment 1,What antibiotics treat typhoid?
1,Chatbot Intents,Treatment 2,Is typhoid curable?
1,Chatbot Intents,Prevention 1,How can typhoid be prevented?
1,Chatbot Intents,Prevention 2,Is there a vaccine for typhoid?
1,Chatbot Intents,Public Health 1,When should typhoid be reported?
1,Chatbot Intents,Public Health 2,Who must be excluded from work?
2,General,Domain,Healthcare
2,General,Subdomain,Infectious Diseases
2,General,Topic,Typhoid (Enteric) Fever
2,Source,Title,Typhoid enteric fever – part 1
2,Source,Journal,Update in Anaesthesia
2,Source,Publisher,World Federation of Societies of Anaesthesiologists (WFSA)
2,Source,Original Release,Anaesthesia Tutorial of the Week 338
2,Source,Publication Year,2016
2,Source,Authors 1,Falan Mouton
2,Source,Authors 2,Esohe I. Ohuoba
2,Source,Authors 3,Faye M. Evans
2,Source,Authors 4,Ibironke Desalu
2,Definition,Description,"Typhoid fever, also known as enteric fever, is a bacterial infection of the gastrointestinal system caused by Salmonella enterica serotypes Typhi and Paratyphi."
2,Definition,Host Specificity,Humans are the only reservoir
2,Definition,Bacterial Characteristics 1,Gram-negative bacilli
2,Definition,Bacterial Characteristics 2,Facultative anaerobes
2,Definition,Bacterial Characteristics 3,Flagellated and motile
2,Definition,Bacterial Characteristics 4,Non-spore forming
2,Definition,Bacterial Characteristics 5,Highly antigenic
2,Causative Agents,Primary 1,Salmonella Typhi
2,Causative Agents,Primary 2,Salmonella Paratyphi
2,Causative Agents,Notes 1,Animals are NOT carriers of typhoid Salmonella
2,Causative Agents,Notes 2,"Non-typhoidal Salmonella causes gastroenteritis, not typhoid"
2,Epidemiology > Global Statistics,Annual Cases,>22 million
2,Epidemiology > Global Statistics,Annual Deaths,">200,000"
2,Epidemiology > Global Statistics,Mortality Rate,1–4%
2,Epidemiology > Geographical Distribution,Low Incidence 1,North America
2,Epidemiology > Geographical Distribution,Low Incidence 2,Europe
2,Epidemiology > Geographical Distribution,High Incidence 1,Central Asia
2,Epidemiology > Geographical Distribution,High Incidence 2,Southeast Asia
2,Epidemiology > Geographical Distribution,High Incidence 3,Sub-Saharan Africa
2,Epidemiology,Risk Environments 1,Urban areas
2,Epidemiology,Risk Environments 2,Poor sanitation regions
2,Epidemiology,Risk Environments 3,Limited clean water access
2,Epidemiology,Most Affected Group,Children aged 5–10 years
2,Transmission,Route,Fecal–oral
2,Transmission,Modes 1,Contaminated drinking water
2,Transmission,Modes 2,Contaminated food
2,Transmission,Modes 3,Street food vendors
2,Transmission,Modes 4,Poor hand hygiene
2,Transmission,Modes 5,Sewage-contaminated agriculture
2,Transmission,Non Vectors 1,Livestock
2,Transmission,Non Vectors 2,Household pets
2,Pathophysiology,Entry,Ingestion of contaminated food or water
2,Pathophysiology,Intestinal Phase 1,Bacteria cross intestinal epithelium
2,Pathophysiology,Intestinal Phase 2,Attach to Peyer’s patches (terminal ileum)
2,Pathophysiology,Systemic Spread 1,Phagocytosed by macrophages
2,Pathophysiology,Systemic Spread 2,Spread via lymphatics
2,Pathophysiology,Systemic Spread 3,"Involvement of spleen, liver, bone marrow"
2,Pathophysiology,Gallbladder Cycle,Bacteria secreted into GI tract from gallbladder
2,Pathophysiology,Tissue Damage 1,Inflammation of Peyer’s patches
2,Pathophysiology,Tissue Damage 2,Necrosis and ulceration
2,Pathophysiology,Tissue Damage 3,Bleeding and perforation
2,Incubation Period,Range,3 days – 3 weeks
2,Incubation Period,Factors Affecting Duration 1,Immune status
2,Incubation Period,Factors Affecting Duration 2,Bacterial load
2,Incubation Period,Factors Affecting Duration 3,Gastric acidity
2,Clinical Features,General Symptoms 1,Prolonged fever
2,Clinical Features,General Symptoms 2,Frontal headache
2,Clinical Features,General Symptoms 3,Fatigue
2,Clinical Features,General Symptoms 4,Flu-like symptoms (>75%)
2,Clinical Features,Gastrointestinal 1,Abdominal pain
2,Clinical Features,Gastrointestinal 2,Nausea
2,Clinical Features,Gastrointestinal 3,Vomiting
2,Clinical Features,Gastrointestinal 4,Diarrhea
2,Clinical Features,Gastrointestinal 5,Constipation
2,Clinical Features,Gastrointestinal 6,GI bleeding
2,Clinical Features,Gastrointestinal 7,Anorexia
2,Clinical Features,Physical Signs 1,Hepatomegaly
2,Clinical Features,Physical Signs 2,Splenomegaly
2,Clinical Features,Physical Signs 3,Rose spots (transient rash)
2,Clinical Features,Neurological 1,Delirium
2,Clinical Features,Neurological 2,Meningitis
2,Clinical Features,Neurological 3,Guillain–Barré syndrome
2,Complications > Intestinal > Perforation,Incidence,1–3%
2,Complications > Intestinal > Perforation,Most Common Site,Terminal ileum
2,Complications > Intestinal > Perforation,Mortality,Up to 40%
2,Complications > Intestinal,Bleeding,True
2,Complications,Systemic 1,Myocarditis
2,Complications,Systemic 2,Endocarditis
2,Complications,Systemic 3,Hepatitis
2,Complications,Systemic 4,Pancreatitis
2,Complications,Systemic 5,Renal failure
2,Complications,Systemic 6,Pneumonia
2,Complications,Systemic 7,DIC
2,Complications,Systemic 8,Sepsis
2,Complications > Carriage,Rate,Up to 4% become chronic carriers
2,Complications > Carriage,Shedding 1,Urine
2,Complications > Carriage,Shedding 2,Stool
2,Diagnosis,Clinical Note,Clinical features alone are insufficient for diagnosis
2,Diagnosis,Gold Standard,Culture-based isolation
2,Diagnosis > Diagnostic Tests > Bone Marrow Culture,Sensitivity,55–90%
2,Diagnosis > Diagnostic Tests > Bone Marrow Culture,Advantage,Positive even after antibiotics
2,Diagnosis > Diagnostic Tests,Blood Culture,Commonly used
2,Diagnosis > Diagnostic Tests,Stool Culture,Helpful for carriers
2,Diagnosis > Diagnostic Tests,Urine Culture,Supportive
2,Diagnosis > Diagnostic Tests,Skin Biopsy,Rose spots
2,Diagnosis > Serology > Widal Test,Status,Low reliability
2,Diagnosis > Serology > Widal Test,Limitations 1,High false positives
2,Diagnosis > Serology > Widal Test,Limitations 2,Cross-reactivity
2,Diagnosis > Serology > Widal Test,Limitations 3,Affected by vaccination
2,Diagnosis > Advanced Methods > Pcr,Accuracy,High
2,Diagnosis > Advanced Methods > Pcr,Limitations,"Expensive, limited availability"
2,Treatment,Principles 1,Early antibiotic therapy
2,Treatment,Principles 2,Culture-guided treatment when possible
2,Treatment,First Line Antibiotics 1,Ciprofloxacin
2,Treatment,First Line Antibiotics 2,Ofloxacin
2,Treatment,Alternative Antibiotics 1,Chloramphenicol
2,Treatment,Alternative Antibiotics 2,Amoxicillin
2,Treatment,Alternative Antibiotics 3,Trimethoprim–sulfamethoxazole
2,Treatment,Drug Resistant Cases 1,Ceftriaxone
2,Treatment,Drug Resistant Cases 2,Azithromycin
2,Treatment,Treatment Duration,Up to 21 days
2,Treatment > Steroids,Drug,Dexamethasone
2,Treatment > Steroids,Benefit,Reduced mortality in severe disease
2,Treatment > Chronic Carrier Management,Duration,4–6 weeks
2,Treatment > Chronic Carrier Management,Drugs 1,Amoxicillin
2,Treatment > Chronic Carrier Management,Drugs 2,TMP-SMX
2,Treatment > Chronic Carrier Management,Drugs 3,Ciprofloxacin
2,Surgical Management,Indication,Intestinal perforation only
2,Surgical Management,Contraindication,No surgery without perforation
2,Surgical Management,Note,Surgery may spread infection if performed unnecessarily
2,Sepsis Management,Guidelines,Surviving Sepsis Campaign
2,Sepsis Management,Adult Protocol 1,Blood cultures within 3 hours
2,Sepsis Management,Adult Protocol 2,Early broad-spectrum antibiotics
2,Sepsis Management,Adult Protocol 3,30 mL/kg IV fluids
2,Sepsis Management,Adult Protocol 4,Maintain MAP 55–65 mmHg
2,Sepsis Management,Paediatric Protocol 1,20 mL/kg fluid boluses
2,Sepsis Management,Paediatric Protocol 2,Early antibiotics (<1 hour)
2,Sepsis Management,Paediatric Protocol 3,Urine output ≥1 mL/kg/hr
2,Sepsis Management,Paediatric Protocol 4,Hb goal ≥10 g/dL initially
2,Prevention,Public Health Measures 1,Safe drinking water
2,Prevention,Public Health Measures 2,Proper sewage disposal
2,Prevention,Public Health Measures 3,Hand hygiene
2,Prevention,Public Health Measures 4,Early outbreak detection
2,Prevention > Vaccination > Available Vaccines 1,Name,Ty21a (oral)
2,Prevention > Vaccination > Available Vaccines 1,Efficacy,67–80%
2,Prevention > Vaccination > Available Vaccines 1,Age Limit,≥6 years
2,Prevention > Vaccination > Available Vaccines 1,Booster,Every 5 years
2,Prevention > Vaccination > Available Vaccines 2,Name,Vi polysaccharide (injectable)
2,Prevention > Vaccination > Available Vaccines 2,Efficacy,55–72%
2,Prevention > Vaccination > Available Vaccines 2,Age Limit,≥2 years
2,Prevention > Vaccination > Available Vaccines 2,Booster,Every 2 years
2,Prevention > Vaccination,Limitations 1,No vaccine for Paratyphi
2,Prevention > Vaccination,Limitations 2,Reduced effectiveness with high bacterial load
2,Chatbot Metadata,Supported Intents 1,What is typhoid fever?
2,Chatbot Metadata,Supported Intents 2,Symptoms of typhoid
2,Chatbot Metadata,Supported Intents 3,Transmission of typhoid
2,Chatbot Metadata,Supported Intents 4,Diagnosis methods
2,Chatbot Metadata,Supported Intents 5,Treatment options
2,Chatbot Metadata,Supported Intents 6,Complications
2,Chatbot Metadata,Supported Intents 7,Sepsis management
2,Chatbot Metadata,Supported Intents 8,Vaccination
2,Chatbot Metadata,Supported Intents 9,Prevention tips
2,Chatbot Metadata,Intended Users 1,Medical students
2,Chatbot Metadata,Intended Users 2,Healthcare professionals
2,Chatbot Metadata,Intended Users 3,Public health workers
2,Chatbot Metadata,Intended Users 4,General public
3,General,Domain,Healthcare
3,General,Subdomain,Pediatric Infectious Diseases
3,General,Topic,Enteric Fever (Typhoid & Paratyphoid)
3,Guideline,Name,Standard Treatment Guidelines 2022
3,Guideline,Organization,Indian Academy of Pediatrics (IAP)
3,Guideline,Lead Author,Tapisha Gupta
3,Guideline,Year,2022
3,Guideline,Country,India
3,Definition,Description,Enteric fever is an acute generalized infection of the reticuloendothelial system with predilection for intestinal lymphoid tissue and gallbladder.
3,Definition > Types > Typhoid,Organism,Salmonella typhi
3,Definition > Types > Typhoid,Global Proportion,≈80%
3,Definition > Types > Paratyphoid,Organisms 1,Salmonella paratyphi A
3,Definition > Types > Paratyphoid,Organisms 2,Salmonella paratyphi B
3,Definition > Types > Paratyphoid,Global Proportion,≈20%
3,Definition,Bacterial Features 1,Gram-negative
3,Definition,Bacterial Features 2,Non-lactose fermenting
3,Clinical Presentation,Most Common Scenario,Fever without focus
3,Clinical Presentation > Age Specific Features,Infants And Under 5 1,Fever
3,Clinical Presentation > Age Specific Features,Infants And Under 5 2,Vomiting
3,Clinical Presentation > Age Specific Features,Infants And Under 5 3,Diarrhea
3,Clinical Presentation > Age Specific Features,Older Children 1,Step-ladder fever over 5–7 days
3,Clinical Presentation > Age Specific Features,Older Children 2,Anorexia
3,Clinical Presentation > Age Specific Features,Older Children 3,Abdominal pain
3,Clinical Presentation > Age Specific Features,Older Children 4,Cough
3,Clinical Presentation > Age Specific Features,Older Children 5,Lethargy
3,Clinical Presentation > Age Specific Features,Older Children 6,Toxic appearance
3,Clinical Presentation > Age Specific Features,Older Children 7,Tender abdomen
3,Clinical Presentation > Age Specific Features,Older Children 8,Soft splenomegaly
3,Clinical Presentation > Age Specific Features,Older Children 9,Hepatomegaly
3,Clinical Presentation > Age Specific Features,Older Children 10,Relative bradycardia
3,Clinical Presentation > Rash,Rose Spots,Rarely seen in Indian children
3,Laboratory Findings > Hemogram,Tlc,Normal or low
3,Laboratory Findings > Hemogram,Neutrophilia,True
3,Laboratory Findings > Hemogram,Thrombocytopenia,True
3,Laboratory Findings > Hemogram,Eosinopenia,Highly consistent finding
3,Laboratory Findings > Hemogram,Transaminases,Mild elevation possible
3,Diagnosis,Gold Standard,Culture and sensitivity
3,Diagnosis > Blood Culture > Yield,Week 1,≈90%
3,Diagnosis > Blood Culture > Yield,Week 4,≈40%
3,Diagnosis > Blood Culture,Sample Volume,5–10 mL
3,Diagnosis > Blood Culture,Blood To Broth Ratio,1:5
3,Diagnosis > Blood Culture,Automation,BACTEC improves yield and cost-effectiveness
3,Diagnosis > Bone Marrow Culture,Indication,Pyrexia of unknown origin or late illness
3,Diagnosis > Bone Marrow Culture,Advantage,Remains positive even after antibiotics
3,Diagnosis,Not Recommended 1,Routine stool culture
3,Diagnosis,Not Recommended 2,Routine urine culture
3,Diagnosis > Serology,Role,"Supportive only, not diagnostic"
3,Diagnosis > Serology > Widal Test,Detects 1,IgM
3,Diagnosis > Serology > Widal Test,Detects 2,IgG
3,Diagnosis > Serology > Widal Test,Positive Cutoff,≥1:160
3,Diagnosis > Serology > Widal Test,Limitations 1,Low sensitivity and specificity
3,Diagnosis > Serology > Widal Test,Limitations 2,"False positives (malaria, rickettsial disease)"
3,Diagnosis > Serology > Widal Test,Limitations 3,False negatives after antibiotics
3,Diagnosis > Serology > Typhi Dot Eia,Specificity,≈37%
3,Diagnosis > Serology > Typhi Dot Eia,Status,Not recommended for clinical decisions
3,Treatment > Empirical Therapy > Severe Or Complicated,First Line,Ceftriaxone
3,Treatment > Empirical Therapy > Severe Or Complicated,Alternatives 1,Cefotaxime (with hepatitis)
3,Treatment > Empirical Therapy > Severe Or Complicated,Alternatives 2,Aztreonam (penicillin allergy)
3,Treatment > Empirical Therapy > Outpatient,First Line,Cefixime
3,Treatment > Empirical Therapy > Outpatient,Alternative,Azithromycin (penicillin allergy)
3,Treatment > Dosage Guidelines,Ceftriaxone,100 mg/kg/day (max 4 g)
3,Treatment > Dosage Guidelines,Cefotaxime,150–200 mg/kg/day (max 8 g)
3,Treatment > Dosage Guidelines,Cefixime,20 mg/kg/day (max 1200 mg)
3,Treatment > Dosage Guidelines,Azithromycin,20 mg/kg/day (max 1 g)
3,Treatment > Dosage Guidelines,Aztreonam,50–100 mg/kg/day (max 8 g)
3,Treatment > Duration,Standard,14 days or 7 days after defervescence (whichever is later)
3,Treatment > Duration,Azithromycin,7 days
3,Steroids,Indication,Severe illness only
3,Steroids,Criteria 1,Shock
3,Steroids,Criteria 2,Coma
3,Steroids,Criteria 3,Altered sensorium
3,Steroids > Regimen > Dexamethasone,Loading Dose,3 mg/kg
3,Steroids > Regimen > Dexamethasone,Maintenance,1 mg/kg every 6 hours for 2 days
3,Steroids,Warning,Prolonged use increases relapse risk
3,Treatment Response > Delayed Defervescence,Definition,No fever resolution by day 7 but child clinically improving
3,Treatment Response > Delayed Defervescence,Action,Continue same antibiotic till day 10
3,Treatment Response > Clinical Failure,Definition,Persistent fever + toxic child after 7 days
3,Treatment Response > Clinical Failure,Evaluate For 1,"Complications (abscess, HLH)"
3,Treatment Response > Clinical Failure,Evaluate For 2,"Coinfections (malaria, hepatitis A)"
3,Treatment Response > Clinical Failure,Evaluate For 3,Drug fever
3,Treatment Response > Clinical Failure,Evaluate For 4,Thrombophlebitis
3,Treatment Response > Clinical Failure,Evaluate For 5,Incorrect diagnosis
3,Antimicrobial Resistance,Important Notes 1,Quinolones contraindicated in children
3,Antimicrobial Resistance,Important Notes 2,Aminoglycosides ineffective (intracellular organism)
3,Antimicrobial Resistance > Mic Guidance > Ceftriaxone,Excellent Outcome,MIC ≤1
3,Antimicrobial Resistance > Mic Guidance > Ceftriaxone > Resistance Cutoff,Clsi,≥4
3,Antimicrobial Resistance > Mic Guidance > Ceftriaxone > Resistance Cutoff,Eucast,>2
3,Antimicrobial Resistance > Resistant Infections,First Choice,Azithromycin
3,Antimicrobial Resistance > Resistant Infections,Severe Or Unstable,Meropenem
3,Carrier State,Definition,Asymptomatic shedding >3 months
3,Carrier State,Pediatric Relevance,Uncommon
3,Carrier State,Screening,Not routinely recommended
3,Carrier State,Treatment 1,TMP-SMX 10 mg/kg/day for 6–12 weeks
3,Carrier State,Treatment 2,Amoxicillin 75–100 mg/kg/day for 4–6 weeks
3,Relapse,Rate,5–20%
3,Relapse,Timing,2–3 weeks after fever resolution
3,Relapse,Severity,Usually milder
3,Relapse,Management,Same antibiotic as initial episode
3,Chatbot Readiness,Supported Intents 1,What is enteric fever?
3,Chatbot Readiness,Supported Intents 2,Symptoms in children
3,Chatbot Readiness,Supported Intents 3,Diagnosis of typhoid
3,Chatbot Readiness,Supported Intents 4,Blood culture timing
3,Chatbot Readiness,Supported Intents 5,Empirical antibiotics
3,Chatbot Readiness,Supported Intents 6,Drug dosages
3,Chatbot Readiness,Supported Intents 7,Steroid use
3,Chatbot Readiness,Supported Intents 8,Delayed defervescence
3,Chatbot Readiness,Supported Intents 9,Clinical failure
3,Chatbot Readiness,Supported Intents 10,Antibiotic resistance
3,Chatbot Readiness,Supported Intents 11,Carrier state
3,Chatbot Readiness,Supported Intents 12,Relapse management
3,Chatbot Readiness,Target Users 1,Medical students
3,Chatbot Readiness,Target Users 2,Pediatric residents
3,Chatbot Readiness,Target Users 3,Clinicians
3,Chatbot Readiness,Target Users 4,Healthcare chatbots
4,Disease,Name,Typhoid Fever
4,Disease,Alternate Names 1,Enteric Fever
4,Disease > Causative Agents,Typhoid,Salmonella enterica serotype Typhi
4,Disease > Causative Agents,Paratyphoid 1,Salmonella Paratyphi A
4,Disease > Causative Agents,Paratyphoid 2,Salmonella Paratyphi B
4,Disease > Causative Agents,Paratyphoid 3,Salmonella Paratyphi C
4,Disease > Classification,Bacteria Type,Gram-negative
4,Disease > Classification,Fermentation,Non-lactose fermenting
4,Disease > Classification,System Affected 1,Reticuloendothelial system
4,Disease > Classification,System Affected 2,Intestinal lymphoid tissue
4,Disease > Classification,System Affected 3,Gallbladder
4,Disease > Incubation Period,Average Days,9–21
4,Disease > Incubation Period,Range Days,3–60
4,Transmission,Modes 1,Fecal–oral route
4,Transmission,Modes 2,Contaminated food
4,Transmission,Modes 3,Contaminated water
4,Transmission,Risk Factors 1,Poor sanitation
4,Transmission,Risk Factors 2,Unsafe drinking water
4,Transmission,Risk Factors 3,Poor food hygiene
4,Transmission,Risk Factors 4,Chronic carriers handling food
4,Transmission > Chronic Carriers,Definition,Excretion of Salmonella Typhi in stool or urine for ≥1 year
4,Transmission > Chronic Carriers,Restrictions,Excluded from food handling until 3 negative stool cultures (1 month apart)
4,Clinical Features,General Symptoms 1,Prolonged fever
4,Clinical Features,General Symptoms 2,Headache
4,Clinical Features,General Symptoms 3,Fatigue
4,Clinical Features,General Symptoms 4,Anorexia
4,Clinical Features,General Symptoms 5,Lethargy
4,Clinical Features > Children,Common 1,Fever
4,Clinical Features > Children,Common 2,Vomiting
4,Clinical Features > Children,Common 3,Diarrhea
4,Clinical Features > Children,Common 4,Abdominal pain
4,Clinical Features > Children,Older Children 1,Step-ladder fever pattern
4,Clinical Features > Children,Older Children 2,Cough
4,Clinical Features > Children,Older Children 3,Hepatomegaly
4,Clinical Features > Children,Older Children 4,Splenomegaly
4,Clinical Features > Children,Older Children 5,Relative bradycardia
4,Clinical Features,Adults 1,Abdominal pain
