Record,Section,Field,Value
1,Dehydration > Severity Levels > Severe Dehydration,Criteria 1,Lethargy or unconsciousness
1,Dehydration > Severity Levels > Severe Dehydration,Criteria 2,Sunken eyes
1,Dehydration > Severity Levels > Severe Dehydration,Criteria 3,Unable to drink or drinks poorly
1,Dehydration > Severity Levels > Severe Dehydration,Criteria 4,Skin pinch returns very slowly (≥2 seconds)
1,Dehydration > Severity Levels > Some Dehydration,Criteria 1,Restlessness or irritability
1,Dehydration > Severity Levels > Some Dehydration,Criteria 2,Sunken eyes
1,Dehydration > Severity Levels > Some Dehydration,Criteria 3,"Drinks eagerly, thirsty"
1,Dehydration > Severity Levels > No Dehydration,Criteria 1,Insufficient signs to classify as some or severe dehydration
1,Prevention,Key Measures 1,Access to safe drinking water
1,Prevention,Key Measures 2,Improved sanitation facilities
1,Prevention,Key Measures 3,Hand washing with soap
1,Prevention,Key Measures 4,Exclusive breastfeeding for first 6 months
1,Prevention,Key Measures 5,Good food hygiene
1,Prevention,Key Measures 6,Health education
1,Prevention,Key Measures 7,Rotavirus vaccination
1,Treatment > Standard Care 1,Method,Oral Rehydration Solution (ORS)
1,Treatment > Standard Care 1,Description,"Mixture of clean water, sugar, and salt to replace lost fluids and electrolytes"
1,Treatment > Standard Care 2,Method,Zinc supplementation
1,Treatment > Standard Care 2,Duration,10–14 days
1,Treatment > Standard Care 2 > Benefits,Diarrhoea Duration Reduction,25%
1,Treatment > Standard Care 2 > Benefits,Stool Volume Reduction,30%
1,Treatment,Advanced Care 1,Intravenous fluids for severe dehydration or shock
1,Treatment,Advanced Care 2,Medical consultation for persistent diarrhoea
1,Treatment,Advanced Care 3,Immediate care if blood is present in stool
1,Treatment > Nutrition,Recommendation,Continue nutrient-rich foods including breast milk during diarrhoeal episodes
1,Epidemiology > Developing Countries,Water Access Lack,780000000
1,Epidemiology > Developing Countries,Sanitation Lack,2500000000
1,Epidemiology > Developing Countries,Average Episodes Under 3,3
1,Who Response,Strategies 1,Support national diarrhoea management policies
1,Who Response,Strategies 2,Improve access to water and sanitation
1,Who Response,Strategies 3,Research new prevention and control strategies
1,Who Response,Strategies 4,Implement household water treatment solutions
1,Who Response,Strategies 5,Promote rotavirus immunization
1,Who Response,Strategies 6,Train community-level health workers
1,Chatbot Use Cases,Possible Intents 1,What is diarrhoea?
1,Chatbot Use Cases,Possible Intents 2,Causes of diarrhoea
1,Chatbot Use Cases,Possible Intents 3,Types of diarrhoea
1,Chatbot Use Cases,Possible Intents 4,Symptoms of dehydration
1,Chatbot Use Cases,Possible Intents 5,How to treat diarrhoea at home
1,Chatbot Use Cases,Possible Intents 6,When to see a doctor
1,Chatbot Use Cases,Possible Intents 7,How to prevent diarrhoea
1,Chatbot Use Cases,Possible Intents 8,Role of ORS and zinc
1,Chatbot Use Cases,Possible Intents 9,WHO guidelines on diarrhoea
2,Knowledge Base,Domain,Healthcare
2,Knowledge Base,Topic,Diarrhoeal Disease
2,Knowledge Base,Version,1.0
2,Knowledge Base,Last Updated,2026-01-30
2,Definitions > Diarrhoea,Medical Definition,"Passage of three or more loose or liquid stools per day, or more frequent passage than is normal for the individual."
2,Definitions > Diarrhoea,Not Diarrhoea 1,Frequent passage of formed stools
2,Definitions > Diarrhoea,Not Diarrhoea 2,Loose or pasty stools in breastfed infants
2,Global Burden > Child Mortality,Rank,3
2,Global Burden > Child Mortality,Age Group,Under 5 years
2,Global Burden > Child Mortality,Annual Deaths,443832
2,Global Burden,High Risk Populations 1,Children under 5 years
2,Global Burden,High Risk Populations 2,Malnourished children
2,Global Burden,High Risk Populations 3,Children with impaired immunity
2,Global Burden,High Risk Populations 4,People living with HIV
2,Global Burden > Low Income Countries,Avg Episodes Per Child Under 3,3
2,Global Burden > Low Income Countries,Unsafe Water Population,780000000
2,Global Burden > Low Income Countries,Lack Of Sanitation Population,2500000000
2,Clinical Types > Acute Watery Diarrhoea,Duration,Hours to days
2,Clinical Types > Acute Watery Diarrhoea,Characteristics 1,Large volume watery stools
2,Clinical Types > Acute Watery Diarrhoea,Characteristics 2,Rapid dehydration risk
2,Clinical Types > Acute Watery Diarrhoea,Examples 1,Cholera
2,Clinical Types > Acute Bloody Diarrhoea,Alias,Dysentery
2,Clinical Types > Acute Bloody Diarrhoea,Characteristics 1,Blood in stool
2,Clinical Types > Acute Bloody Diarrhoea,Characteristics 2,Intestinal inflammation
2,Clinical Types > Persistent Diarrhoea,Duration,14 days or longer
2,Clinical Types > Persistent Diarrhoea,Characteristics 1,Malabsorption
2,Clinical Types > Persistent Diarrhoea,Characteristics 2,Weight loss
2,Clinical Types > Persistent Diarrhoea,Characteristics 3,High mortality risk
2,Causes > Infectious > Viral,Common Under 5 1,Rotavirus
2,Causes > Infectious > Viral,Common Under 5 2,Norovirus
2,Causes > Infectious > Viral,Common Under 5 3,Adenovirus
2,Causes > Infectious > Viral,Common Under 5 4,Astrovirus
2,Causes > Infectious > Viral,Additional 1,Sapovirus
2,Causes > Infectious,Bacterial 1,Escherichia coli
2,Causes > Infectious,Bacterial 2,Salmonella spp.
2,Causes > Infectious,Bacterial 3,Shigella spp.
2,Causes > Infectious,Bacterial 4,Campylobacter spp.
2,Causes > Infectious > Parasitic,Common 1,Cryptosporidium
2,Causes > Infectious > Parasitic,Common 2,Giardia
2,Causes > Infectious > Parasitic,Common 3,Entamoeba spp.
2,Causes > Infectious > Parasitic,Age Group Prevalence,Common in children aged 3–5 years
2,Causes,Non Infectious Contributors 1,Malnutrition
2,Causes,Non Infectious Contributors 2,Poor immunity
2,General,Transmission Routes 1,Faeces-contaminated drinking water
2,General,Transmission Routes 2,Contaminated food
2,General,Transmission Routes 3,Person-to-person contact
2,General,Transmission Routes 4,Poor hand hygiene
2,General,Transmission Routes 5,Unsafe domestic water storage
2,General,Transmission Routes 6,Animal faeces exposure
2,General,Transmission Routes 7,Seafood from polluted water
2,Dehydration,Core Threat,Loss of water and electrolytes
2,Dehydration,Electrolytes Lost 1,Sodium
2,Dehydration,Electrolytes Lost 2,Chloride
2,Dehydration,Electrolytes Lost 3,Potassium
2,Dehydration,Electrolytes Lost 4,Bicarbonate
2,Dehydration > Severity Classification > Severe Dehydration,Criteria 1,Lethargic or unconscious
2,Dehydration > Severity Classification > Severe Dehydration,Criteria 2,Sunken eyes
2,Dehydration > Severity Classification > Severe Dehydration,Criteria 3,Unable to drink or drinks poorly
2,Dehydration > Severity Classification > Severe Dehydration,Criteria 4,Skin pinch returns very slowly (≥2 seconds)
2,Dehydration > Severity Classification > Severe Dehydration,Action,Immediate medical emergency
2,Dehydration > Severity Classification > Some Dehydration,Criteria 1,Restless or irritable
2,Dehydration > Severity Classification > Some Dehydration,Criteria 2,Sunken eyes
2,Dehydration > Severity Classification > Some Dehydration,Criteria 3,"Drinks eagerly, thirsty"
2,Dehydration > Severity Classification > Some Dehydration,Action,Start ORS immediately
2,Dehydration > Severity Classification > No Dehydration,Criteria 1,No sufficient signs of dehydration
2,Dehydration > Severity Classification > No Dehydration,Action,Continue fluids and feeding
2,Prevention,Core Measures 1,Safe drinking water access
2,Prevention,Core Measures 2,Improved sanitation
2,Prevention,Core Measures 3,Hand washing with soap
2,Prevention,Core Measures 4,Safe food preparation
2,Prevention,Core Measures 5,Health education
2,Prevention,Child Specific 1,Exclusive breastfeeding for first 6 months
2,Prevention,Child Specific 2,Rotavirus vaccination
2,Treatment > First Line > Oral Rehydration Solution,Components 1,Clean water
2,Treatment > First Line > Oral Rehydration Solution,Components 2,Salt
2,Treatment > First Line > Oral Rehydration Solution,Components 3,Sugar
2,Treatment > First Line > Oral Rehydration Solution,Function,Replaces lost fluids and electrolytes
2,Treatment > First Line > Oral Rehydration Solution,Cost,"Low-cost, few cents per treatment"
2,Treatment > Adjunct Therapy > Zinc Supplementation,Duration Days,10–14
2,Treatment > Adjunct Therapy > Zinc Supplementation > Benefits,Duration Reduction Percent,25
2,Treatment > Adjunct Therapy > Zinc Supplementation > Benefits,Stool Volume Reduction Percent,30
2,Treatment,Advanced Care 1,Intravenous fluids for severe dehydration or shock
2,Treatment,Advanced Care 2,Antibiotics only for bloody diarrhoea
2,Treatment,Advanced Care 3,Hospital referral if symptoms worsen
2,Treatment > Nutrition Support,During Diarrhoea 1,Continue breastfeeding
2,Treatment > Nutrition Support,During Diarrhoea 2,Provide nutrient-rich foods
2,Treatment > Nutrition Support,Post Recovery 1,Nutritious diet to prevent malnutrition
2,Danger Signs,Immediate Medical Attention 1,Blood in stool
2,Danger Signs,Immediate Medical Attention 2,Signs of severe dehydration
2,Danger Signs,Immediate Medical Attention 3,Persistent diarrhoea >14 days
2,Danger Signs,Immediate Medical Attention 4,High fever
2,Danger Signs,Immediate Medical Attention 5,Repeated vomiting
2,Who Guidelines,Priority Actions 1,Strengthen diarrhoea case management
2,Who Guidelines,Priority Actions 2,Expand ORS and zinc coverage
2,Who Guidelines,Priority Actions 3,Improve water and sanitation infrastructure
2,Who Guidelines,Priority Actions 4,Promote rotavirus immunization
2,Who Guidelines,Priority Actions 5,Train community health workers
2,Chatbot Intents,Information 1,What is diarrhoea
2,Chatbot Intents,Information 2,Types of diarrhoea
2,Chatbot Intents,Information 3,Causes of diarrhoea
2,Chatbot Intents,Information 4,How diarrhoea spreads
2,Chatbot Intents,Symptom Checking 1,Does my child have dehydration
2,Chatbot Intents,Symptom Checking 2,Is diarrhoea dangerous
2,Chatbot Intents,Symptom Checking 3,How long is diarrhoea normal
2,Chatbot Intents,Treatment Guidance 1,How to prepare ORS
2,Chatbot Intents,Treatment Guidance 2,When to give zinc
2,Chatbot Intents,Treatment Guidance 3,Home care for diarrhoea
2,Chatbot Intents,Prevention Guidance 1,How to prevent diarrhoea
2,Chatbot Intents,Prevention Guidance 2,Importance of hand washing
2,Chatbot Intents,Prevention Guidance 3,Role of vaccines
2,Chatbot Intents,Triage 1,When to see a doctor
2,Chatbot Intents,Triage 2,Emergency warning signs
3,Kb Meta,Domain,healthcare
3,Kb Meta,Topic,diarrhoeal_disease
3,Kb Meta,Scope,global_with_focus_on_developing_countries
3,Kb Meta,Last Updated,2026-01-30
3,Kb Meta,Primary Sources 1,WHO guidelines
3,Kb Meta,Primary Sources 2,GEMS study
3,Kb Meta,Primary Sources 3,MAL-ED study
3,Kb Meta,Primary Sources 4,Kotloff et al. 2017
3,Definitions > Diarrhoea,Definition,"Passage of three or more loose or liquid stools per day, or more frequent passage than normal for the individual."
3,Definitions > Diarrhoea,Exclusions 1,Frequent formed stools
3,Definitions > Diarrhoea,Exclusions 2,Loose or pasty stools in exclusively breastfed infants
3,Definitions > Acute Gastroenteritis,Definition,"Acute onset of diarrhoea often accompanied by vomiting, commonly viral in origin"
3,Global Burden,Annual Cases Worldwide,2300000000
3,Global Burden,Annual Deaths Worldwide,1300000
3,Global Burden > Under 5 Deaths,Annual,499000
3,Global Burden > Under 5 Deaths,Proportion,1 in 8 child deaths
3,Global Burden > Under 5 Deaths,Regions Most Affected 1,Sub-Saharan Africa
3,Global Burden > Under 5 Deaths,Regions Most Affected 2,South Asia
3,Global Burden,Long Term Impact 1,Growth faltering
3,Global Burden,Long Term Impact 2,Cognitive impairment
3,Global Burden,Long Term Impact 3,Increased post-episode mortality (2–3 months)
3,General,High Risk Groups 1,Children under 5 years
3,General,High Risk Groups 2,Infants under 24 months
3,General,High Risk Groups 3,Malnourished children
3,General,High Risk Groups 4,Immunocompromised individuals
3,General,High Risk Groups 5,Children with HIV
3,General,High Risk Groups 6,Populations lacking safe water and sanitation
3,Clinical Syndromes > Acute Watery Diarrhoea,Features 1,Watery stools
3,Clinical Syndromes > Acute Watery Diarrhoea,Features 2,Vomiting may precede diarrhoea
3,Clinical Syndromes > Acute Watery Diarrhoea,Features 3,High dehydration risk
3,Clinical Syndromes > Acute Watery Diarrhoea,Common Causes 1,Rotavirus
3,Clinical Syndromes > Acute Watery Diarrhoea,Common Causes 2,Norovirus
3,Clinical Syndromes > Acute Watery Diarrhoea,Common Causes 3,ETEC
3,Clinical Syndromes > Acute Watery Diarrhoea,Common Causes 4,Vibrio cholerae
3,Clinical Syndromes > Bloody Diarrhoea,Alias,dysentery
3,Clinical Syndromes > Bloody Diarrhoea,Features 1,Visible blood or mucus in stool
3,Clinical Syndromes > Bloody Diarrhoea,Features 2,Fever
3,Clinical Syndromes > Bloody Diarrhoea,Features 3,Abdominal cramps
3,Clinical Syndromes > Bloody Diarrhoea,Features 4,Tenesmus
3,Clinical Syndromes > Bloody Diarrhoea,Common Causes 1,Shigella
3,Clinical Syndromes > Bloody Diarrhoea,Common Causes 2,Campylobacter
3,Clinical Syndromes > Bloody Diarrhoea,Common Causes 3,Salmonella
3,Clinical Syndromes > Bloody Diarrhoea,Common Causes 4,Entamoeba histolytica
3,Clinical Syndromes > Persistent Diarrhoea,Duration,>14 days
3,Clinical Syndromes > Persistent Diarrhoea,Features 1,Malabsorption
3,Clinical Syndromes > Persistent Diarrhoea,Features 2,Weight loss
3,Clinical Syndromes > Persistent Diarrhoea,Features 3,Micronutrient deficiency
3,Clinical Syndromes > Persistent Diarrhoea,Features 4,High mortality risk
3,Etiology,Priority Pathogens 1,Rotavirus
3,Etiology,Priority Pathogens 2,Shigella
3,Etiology,Priority Pathogens 3,Cryptosporidium
3,Etiology,Priority Pathogens 4,ST-ETEC
3,Etiology > Viral > Rotavirus,Importance,Leading cause of severe paediatric diarrhoea
3,Etiology > Viral > Rotavirus,Genotypes Common 1,G1P[8]
3,Etiology > Viral > Rotavirus,Genotypes Common 2,G2P[4]
3,Etiology > Viral > Rotavirus,Genotypes Common 3,G3P[8]
3,Etiology > Viral > Rotavirus,Genotypes Common 4,G4P[8]
3,Etiology > Viral > Rotavirus,Genotypes Common 5,G9P[8]
3,Etiology > Viral > Norovirus,Genogroup,GII (most common globally)
3,Etiology > Viral > Norovirus,Feature,High asymptomatic carriage
3,Etiology > Viral,Adenovirus 1,40
3,Etiology > Viral,Adenovirus 2,41
3,Etiology > Viral,Astrovirus 1,1–8
3,Etiology > Bacterial > Shigella,Major Species,S flexneri
3,Etiology > Bacterial > Shigella,High Mortality Risk,True
3,Etiology > Bacterial,Salmonella 1,S typhimurium
3,Etiology > Bacterial,Salmonella 2,S enteritidis
3,Etiology > Bacterial,Campylobacter 1,C jejuni
3,Etiology > Bacterial,Campylobacter 2,C coli
3,Etiology > Bacterial > Vibrio Cholerae,Epidemic Serogroups 1,O1
3,Etiology > Bacterial > Vibrio Cholerae,Epidemic Serogroups 2,O139
3,Etiology > Bacterial,Escherichia Coli Pathotypes 1,ETEC
3,Etiology > Bacterial,Escherichia Coli Pathotypes 2,EPEC
3,Etiology > Bacterial,Escherichia Coli Pathotypes 3,EAEC
3,Etiology > Bacterial,Escherichia Coli Pathotypes 4,EIEC
3,Etiology > Bacterial,Escherichia Coli Pathotypes 5,STEC
3,Etiology > Protozoal > Cryptosporidium,Species 1,C hominis
3,Etiology > Protozoal > Cryptosporidium,Species 2,C parvum
3,Etiology > Protozoal > Cryptosporidium,Mortality Risk,High in infants
3,Etiology > Protozoal > Giardia,Association,Often asymptomatic in endemic areas
3,Etiology > Protozoal > Entamoeba Histolytica,Causes 1,Amebic dysentery
3,Etiology > Protozoal > Entamoeba Histolytica,Causes 2,Liver abscess
3,Transmission,Routes 1,Fecal–oral
3,Transmission,Routes 2,Contaminated water
3,Transmission,Routes 3,Contaminated food
3,Transmission,Routes 4,Person-to-person contact
3,Transmission,Routes 5,Animal reservoirs (context dependent)
3,Transmission > Pathogen Specific Patterns,Low Infectious Dose 1,Shigella
3,Transmission > Pathogen Specific Patterns,Low Infectious Dose 2,Norovirus
3,Transmission > Pathogen Specific Patterns,Low Infectious Dose 3,Cryptosporidium
3,Transmission > Pathogen Specific Patterns,High Infectious Dose 1,ETEC
3,Transmission > Pathogen Specific Patterns,High Infectious Dose 2,Vibrio cholerae
3,Dehydration,Electrolyte Losses 1,Sodium
3,Dehydration,Electrolyte Losses 2,Potassium
3,Dehydration,Electrolyte Losses 3,Chloride
3,Dehydration,Electrolyte Losses 4,Bicarbonate
3,Dehydration > Severity > None,Management,"Extra fluids, normal feeding"
3,Dehydration > Severity > Some,Signs 1,Restless or irritable
3,Dehydration > Severity > Some,Signs 2,Sunken eyes
3,Dehydration > Severity > Some,Signs 3,Drinks eagerly
3,Dehydration > Severity > Some,Signs 4,Skin pinch returns slowly
3,Dehydration > Severity > Some,Management,ORS for 4 hours
3,Dehydration > Severity > Severe,Signs 1,Lethargic or unconscious
3,Dehydration > Severity > Severe,Signs 2,Unable to drink
3,Dehydration > Severity > Severe,Signs 3,Skin pinch ≥2 seconds
3,Dehydration > Severity > Severe,Management,Immediate IV fluids
3,Complications,Intestinal 1,Toxic megacolon
3,Complications,Intestinal 2,Intestinal perforation
3,Complications,Intestinal 3,Rectal prolapse
3,Complications,Intestinal 4,Persistent diarrhoea
3,Complications,Systemic 1,Sepsis
3,Complications,Systemic 2,Bacteremia
3,Complications,Systemic 3,Hemolytic uremic syndrome
3,Complications,Systemic 4,Electrolyte imbalance
3,Complications,Systemic 5,Shock
3,Complications,Postinfectious 1,Reactive arthritis
3,Complications,Postinfectious 2,Guillain–Barré syndrome
3,Complications,Postinfectious 3,Growth and cognitive impairment
3,Treatment > Core > Oral Rehydration Solution,Components 1,Water
3,Treatment > Core > Oral Rehydration Solution,Components 2,Glucose
3,Treatment > Core > Oral Rehydration Solution,Components 3,Salt
3,Treatment > Core > Oral Rehydration Solution,Role,Replaces fluids and electrolytes
3,Treatment > Core > Zinc > Dose,≤6 Months,10 mg/day
3,Treatment > Core > Zinc > Dose,>6 Months,20 mg/day
3,Treatment > Core > Zinc,Duration Days,10–14
3,Treatment > Core > Zinc,Benefits 1,Reduced duration
3,Treatment > Core > Zinc,Benefits 2,Reduced severity
3,Treatment > Core > Zinc,Benefits 3,Lower recurrence risk
3,Treatment > Antibiotics,Indications 1,Dysentery
3,Treatment > Antibiotics,Indications 2,Suspected cholera
3,Treatment > Antibiotics,First Line,Ciprofloxacin
3,Treatment > Antibiotics,Contraindications 1,Uncomplicated viral diarrhoea
3,Treatment > Antibiotics,Contraindications 2,Suspected STEC
3,Treatment > Nutrition,During Episode 1,Continue breastfeeding
3,Treatment > Nutrition,During Episode 2,Age-appropriate diet
3,Treatment > Nutrition,After Recovery 1,Nutrient-dense foods
3,Treatment > Nutrition,After Recovery 2,Micronutrient replenishment
3,Prevention > Vaccination > Rotavirus,Impact,Major reduction in severe diarrhoea and mortality
3,Prevention > Vaccination > Rotavirus,Coverage Priority,Low-income countries
3,Prevention,Behavioral 1,Handwashing with soap
3,Prevention,Behavioral 2,Safe food handling
3,Prevention,Behavioral 3,Exclusive breastfeeding for 6 months
3,Prevention,Environmental 1,Safe drinking water
3,Prevention,Environmental 2,Improved sanitation
3,Prevention,Environmental 3,Proper waste disposal
3,Chatbot Intents,Education 1,what_is_diarrhoea
3,Chatbot Intents,Education 2,types_of_diarrhoea
3,Chatbot Intents,Education 3,how_diarrhoea_spreads
3,Chatbot Intents,Symptom Assessment 1,is_my_child_dehydrated
3,Chatbot Intents,Symptom Assessment 2,bloody_stool_check
3,Chatbot Intents,Symptom Assessment 3,diarrhoea_duration_check
3,Chatbot Intents,Treatment Guidance 1,how_to_prepare_ors
3,Chatbot Intents,Treatment Guidance 2,when_to_give_zinc
3,Chatbot Intents,Treatment Guidance 3,when_to_use_antibiotics
3,Chatbot Intents,Triage 1,emergency_signs
3,Chatbot Intents,Triage 2,when_to_see_doctor
3,Chatbot Intents,Triage 3,hospital_referral_decision
3,Chatbot Intents,Prevention Guidance 1,vaccination_info
3,Chatbot Intents,Prevention Guidance 2,hygiene_practices
3,Chatbot Intents,Prevention Guidance 3,feeding_advice
4,Kb Metadata,Domain,public_health
4,Kb Metadata,Topic,diarrhoeal_diseases
4,Kb Metadata,Document Source,Epidemic Control Toolkit – Response Managers
4,Kb Metadata,Last Update,2022-06-28
4,Kb Metadata,Primary Authority,WHO / IFRC
4,Kb Metadata,Intended Use 1,Health education chatbot
4,Kb Metadata,Intended Use 2,Epidemic surveillance support
4,Kb Metadata,Intended Use 3,Community risk communication
4,Kb Metadata,Intended Use 4,Decision support for volunteers
4,Key Facts,Global Rank Under 5,Second leading cause of death
4,Key Facts,Annual Child Deaths,525000
4,Key Facts,Major Consequence,Leading cause of malnutrition in children under five
4,Key Facts,High Risk Contexts 1,Humanitarian emergencies
4,Key Facts,High Risk Contexts 2,Displacement camps
4,Key Facts,High Risk Contexts 3,Peri-urban slums
4,Key Facts,High Risk Contexts 4,WASH infrastructure breakdown
4,Case Definition,Standard Definition,"Three or more loose or liquid stools per day, or more frequent passage than normal for the individual."
4,Case Definition,Exclusions 1,Frequent formed stools
4,Case Definition,Exclusions 2,Loose or pasty stools in breastfed infants
4,Case Definition > Community Case Definition,Purpose,Early detection and referral
4,Case Definition > Community Case Definition,Characteristic,Broad and simplified
4,Alert And Epidemic Thresholds,Alert Threshold,Predefined number of alerts suggesting a possible outbreak
4,Alert And Epidemic Thresholds,Epidemic Threshold,Minimum number of cases indicating outbreak onset
4,Alert And Epidemic Thresholds,Reference,Based on historical baseline data
4,Alert And Epidemic Thresholds,Action Required,Immediate notification to health authorities
4,Risk Factors,Environmental 1,Water contaminated with human faeces
4,Risk Factors,Environmental 2,Sewage leakage
4,Risk Factors,Environmental 3,Inadequate sanitation facilities
4,Risk Factors,Behavioral 1,Poor personal hygiene
4,Risk Factors,Behavioral 2,Unsafe food preparation
4,Risk Factors,Behavioral 3,Improper domestic water storage
4,Risk Factors,Food Related 1,Unwashed fruits and vegetables
4,Risk Factors,Food Related 2,Raw or undercooked seafood
4,Risk Factors,Food Related 3,Food exposed to flies
4,Risk Factors,Contextual 1,Overcrowded living conditions
4,Risk Factors,Contextual 2,Humanitarian crises
4,Risk Factors,Contextual 3,Limited access to healthcare
4,Attack Rate,Definition,Risk of acquiring disease during a specific period
4,Attack Rate,Variability Factors 1,Infectious agent
4,Attack Rate,Variability Factors 2,Population density
4,Attack Rate,Variability Factors 3,Socioeconomic conditions
4,Attack Rate > Example,Pathogen,Shigella
4,Attack Rate > Example,Median Attack Rate Percent,1–33
4,General,Vulnerable Groups 1,Children under five years
4,General,Vulnerable Groups 2,Malnourished individuals
4,General,Vulnerable Groups 3,Immunosuppressed persons
4,General,Vulnerable Groups 4,People with chronic diseases
4,General,Vulnerable Groups 5,Individuals without access to rehydration therapy
4,Infectious Agents,Viral 1,Rotavirus
4,Infectious Agents,Viral 2,Norovirus
4,Infectious Agents,Viral 3,Adenovirus
4,Infectious Agents,Bacterial 1,Shigella
4,Infectious Agents,Bacterial 2,Vibrio cholerae
4,Infectious Agents,Bacterial 3,Campylobacter
4,Infectious Agents,Bacterial 4,Escherichia coli
4,Infectious Agents,Bacterial 5,Salmonella
4,Infectious Agents,Bacterial 6,Clostridium difficile
4,Infectious Agents,Protozoal 1,Cryptosporidium
4,Infectious Agents,Protozoal 2,Entamoeba histolytica
4,Infectious Agents,Most Common Low Income 1,Rotavirus
4,Infectious Agents,Most Common Low Income 2,Escherichia coli
4,Reservoirs And Hosts,Human Only 1,Rotavirus
4,Reservoirs And Hosts,Human Only 2,Shigella
4,Reservoirs And Hosts,Human And Animal 1,E. coli
4,Reservoirs And Hosts,Human And Animal 2,Cryptosporidium
4,Reservoirs And Hosts,Host Susceptibility Factors 1,Age
4,Reservoirs And Hosts,Host Susceptibility Factors 2,Immunity
4,Reservoirs And Hosts,Host Susceptibility Factors 3,Genetic factors
4,Reservoirs And Hosts,Host Susceptibility Factors 4,Nutritional status
4,Modes Of Transmission,Primary,Faecal–oral
4,Modes Of Transmission,Mechanisms 1,Contaminated hands
4,Modes Of Transmission,Mechanisms 2,Contaminated surfaces
4,Modes Of Transmission,Mechanisms 3,Unsafe water
4,Modes Of Transmission,Mechanisms 4,Unsafe food
4,Modes Of Transmission,Vector Assisted 1,Flies mechanically transferring pathogens
4,Incubation Periods,Rotavirus,<48 hours
4,Incubation Periods,E Coli,3–8 days
4,Incubation Periods,Cryptosporidium,2–10 days
4,Incubation Periods,Shigella,1–3 weeks
4,Period Of Infectiousness > E Coli,Adults,≈1 week
4,Period Of Infectiousness > E Coli,Children,Longer duration
4,Period Of Infectiousness > Rotavirus,Shedding Start,2 days before symptoms
4,Period Of Infectiousness > Rotavirus,Shedding Duration,Up to 10 days
4,Period Of Infectiousness > Rotavirus,Immunodeficient,>30 days possible
4,Clinical Presentation,Core Symptoms 1,Three or more loose stools in 24 hours
4,Clinical Presentation,Core Symptoms 2,Abdominal pain
4,Clinical Presentation,Core Symptoms 3,Fever
4,Clinical Presentation,Core Symptoms 4,Nausea
4,Clinical Presentation,Core Symptoms 5,Vomiting
4,Clinical Presentation > Clinical Types > Watery Diarrhoea,Duration,Hours to days
4,Clinical Presentation > Clinical Types > Watery Diarrhoea,Example,Cholera
4,Clinical Presentation > Clinical Types > Bloody Diarrhoea,Alias,Dysentery
4,Clinical Presentation > Clinical Types > Chronic Diarrhoea,Duration,14 days or more
4,Clinical Presentation,Severe Outcomes 1,Dehydration
4,Clinical Presentation,Severe Outcomes 2,Sepsis
4,Clinical Presentation,Severe Outcomes 3,Death
4,Diagnosis,Laboratory Tests 1,Faecal leukocytes test
4,Diagnosis,Laboratory Tests 2,Faecal lactoferrin assay
4,Diagnosis,Laboratory Tests 3,Stool culture
4,Diagnosis,Laboratory Tests 4,Antigen detection
